start	end	text
0	5640	咪咪麻麻红开始直播了
7680	9980	大家好会人了
12540	16380	会人了啊姑娘们都出来了
17920	22780	王总统还不出来什么他们王总统啊不许嫁我啊
24320	28420	大家好看见了吗我这还没出来呢
28900	33540	都看见我了啊我这还没出来呢咱们到了周末了啊
33800	37380	到周末讲经的时间了啊今天要讲这个
38140	43260	今天咱们这讲这个玄学啊讲玄学再讲点中南海小段消息
44040	46840	嗯好大家好哎来了
47100	47620	看见了
50180	54540	好关上了啊我这来了啊声音都正常吧大家好啊
55540	60680	要听听我的这个声音我的动着了啊今天温哥华很冷啊
60940	67340	今天温哥华白天大概只有四度五度晚上居然到零下一度了啊非常冷啊
67600	72980	嗯理解了公主为什么全卡尼了什么什么公主全卡尼了
73740	79380	嗯卡尼的演讲非常好没极霸弹用啊胡说八道的不讲事实啊
79840	84460	嗯不讲数据啊所有的所有的政客只要他不讲数据
84960	88040	他他只是说这种什么这个这个感觉啊
88560	91000	那都是耍流氓啊就相当于说
91620	93160	抛开几两弹毒性一样
93920	99800	你知道吧氧气还有毒呢水也能中毒你喝多喝多水吸吸多了氧气一样能中毒
100320	104680	这个你这这必须得呀老王我有一点你同款比加哥嘿嘿
105140	107080	写诗吗啊非常荣幸啊
108220	112820	黄金又创立是警告了啊我看很多人都说我当年怎么预测黄金
113080	120260	我当年怎么推荐黄金我心想你们真不要脸我操你们真他妈是不要脸啊如今黄金长起来了你们开始啊
120340	124860	我当年你政据呢就没有数据啊你当年个逼你当年
125380	134620	嗯好了啊大家好啊我是教主448个粉丝这是我赶上教主最直播最准时的一次
134900	137100	哈哈哈哈好了好了啊
137820	141500	嗯嗯嗯好了嗯不要羞扫我了
142060	148580	你看啊这是一道玄学没人昨天这时候1500人啊因为我昨天张又瞎话都来了
149180	156340	嗯今天没提张又瞎这都不来了其实今天我开局去告你张又瞎的事而且是笨猛的啊
157500	161500	因为啊我白银今天太猛了今天干5%啊
162240	166440	给我转都给我转傻了因为我呢今天一天的18%
167160	173120	我虽然不让你们家干个耳但是因为我看挺准的所以我就咔一下上上了个双倍的然后
175720	181520	嗯真的是一切都是刚刚开始好了啊咱们昨天是百道会对昨天百道会
183040	189000	你还知道我们现在这个教友啊啊各行各业都有啊是什么人都有啊所以呢
189620	198940	有内部的人啊就给我写信了实在看我纠结啊给我来封信我刚刚来的我这赶紧拿着与玄学无关与幼侠哥有关啊
201660	204580	呃王叔我替您去吃海碗菊了
205420	210980	王叔我关注您一年了啊小飞机吃饺子谢谢你祝你发大财啊幸兴和愉快
211740	213380	今天忍不住给您写信了
213960	219400	正好也是周五我希望能被您看到你这真会写啊这我这周我就看信
220040	224280	加粗的部分设计隐私啊请运去啊又会暴露他
224960	230120	我先给您认个错我半个月前没忍住啊冲了阿根廷百道会哈哈哈你放心
230800	238720	呃欠您的门票我一定还啊我记住了啊你还我啊好了我是某某年出生的90后啊
239580	243060	之前在工作啊国内工作过四年现在欧洲读硕士
243740	249860	我之前在北京工作的时候有幸结实了一些党内核心圈子
250700	257580	小圈的人啊我当时的老大认识一些权贵包括但不见不限于啊一二三啊都是非常
258140	260620	核心的就这么讲吧就是习近平身边的人啊
261220	267180	我自己也认识了一些朋友啊一二三啊这个就不是习近平那么牛逼的了啊这是上海那条线的啊
267760	268880	嗯陈吉宁那边的人
270120	274360	啊苗环那边的人经我多方会计的消息啊张
275400	282520	大概率去年年底就完了就12月就已经照已经控制住他了只是表面上维持了一个体面
283400	289280	呃张又霞有个侄子是合肥的市委书记啊前年就被查了
289800	293480	然后呢处理结果是撤职虽然没有什么的形式处分
294060	297020	但是呢就从此呢就失去了政治前途
