start	end	text
0	1760	呃 我帅不帅呀
1760	2960	哈喽 大家好
2960	5840	VIP百刀会的教友们 大家好
5840	9880	啊 今天是1月28号星期三
9880	12520	现在是洛杉矶时间晚上9点
12520	13680	晚上9点
14960	16840	喂啊 我的声音怎么样
17440	18680	我是不得离近一点啊
18680	19880	因为我现在没带麦克风
19880	20880	我离近一点吧
20880	22680	呃 嗯
24360	26080	呃 我帅不帅呀
26080	27440	啊 不错 不错
27440	29360	声音很好啊 声音很好
29560	31600	牛逼死了啊 这个声音太好了
31600	34560	嗯 嗯 我这个笔记本是花的值这钱啊
34560	35760	这是苹果的啊
35760	37040	苹果的笔记本非常好
37040	38720	做直播简直是完美啊
38720	40560	因为它的自带的麦克风
40560	43360	居然比比大疆和那个小米风好
43360	45560	而且你这自带麦克风不用配呀
45560	48160	不用调啊 不用set up
48160	48720	大家好
49760	50280	哎呀
51640	53840	挂了一七手多单
53840	55400	不小心多打了一个零
55400	58240	一个零 好好好好
58280	58920	多打一个零
58920	60360	那你今天挣多了啊
61360	63480	今天你们都赚大钱了啊
63480	65400	看我大老王的频道啊
65400	67760	虽然有的人说我胡慈啊
67760	69760	有的时候说我住棉啊
69760	72120	有的时候有的人说我他们听床啊
72120	73400	无论如何啊
73400	76080	有一个功效不能否认什么赚钱啊
76080	78480	尤其是VIP真赚钱
78480	80440	那个普通到会他问我
80440	82080	就是无到会领导会的问我
82080	83640	那个黄金东涨的多少钱
83640	85000	我不告诉他们啊
85000	87680	因为他们这个不肯付费知识啊
87680	88720	我不告诉他们
88720	91840	你们我就我今天给你们探讨一下
91840	95080	因为这个东西就属于预测上帝的想法
95080	96000	那你不可能啊
96000	98200	你预测不了上帝的预测
98200	99040	但是呢
99040	101280	你可以看看上帝以前怎么干的
101280	102400	上帝以前怎么干的
102400	104000	你就猜得上帝的排路啊
104000	105480	这是有可能的啊
105480	105840	好来
105840	107920	我就跟大家呃
107920	108520	对对对
108520	110440	都是赚了钱了啊
110440	111600	所有买黄金的
111600	113920	包括前天买的都赚了钱了啊
113920	116040	就就没有这么牛逼的
116040	117720	我曾经太牛逼了
117720	118720	老王见识
118720	120720	为什么就是一直说
