start	end	text
0	3800	啊文界啊祝你发大财谢谢你啊
4400	7440	文界祝你发大财啊这回晒
7440	8320	为ip了吗
9200	12560	这回是文界祝你发大财啊
12560	15240	我把这个大护腰带上啊
15920	17120	用这腰还是不行
17440	18960	妈的这怎么回事
19960	21000	这想不明白
22240	23520	把这大护腰带上
26960	27600	嘿嘿
28400	30120	哎呀
32960	34560	这这这这老婆给
36360	37680	给新买的啊
37680	38920	哎真暖和
38920	39280	哎
41240	43680	哎我待会从不翻车啊
43680	45480	这个护腰是垫热的啊
46680	49680	这样弄上跟那个古代那个将军一样啊
49680	50480	带大护腰
51920	53400	哎这回是为ip了啊
54040	55320	哎好嘞
55320	57400	我先我先迟到往
57400	59840	哎妈的刚才给弄错了啊
60640	61560	嗯好了
61560	64120	嗯王叔的腰好点了吗
64120	66360	哎拍这个谢谢你啊
66360	67560	谢谢你关心王叔腰
68560	69560	也不说坏
69560	70520	他也不说好
70520	71800	他就在那卡在那
71800	73480	这就是什么这个饼火
73480	74120	太重了
74680	76400	我这一幕有点伤不起
76400	78440	我赶紧在温华躲着吧
78440	80560	啊我这个在温华躲着
80560	82200	我还能缓一缓
82200	83960	这就是水大水气重
84600	85800	潮润
86360	87720	那我要去la的话
87720	88920	我估计会加重的
88920	89320	嗯
90120	91000	嗯
92280	93400	不能下按摩啊
93400	94800	这个不行啊
94800	96000	断仪师勾引我
96000	96960	让我去找的是按摩
96960	97400	我不去
97880	99320	我不是不信任他
99320	101160	我不是不信任他的一术啊
101160	103000	我是我是不敢下按
103400	105520	因为这个腰追啊受伤的
105520	108120	颈椎受伤的都是按摩给按坏了
109320	110600	哎呀好哎
111920	113240	今天咱们抓紧时间啊
113320	115440	已经17点59了啊
115440	116440	8点开始啊
116440	117440	因为今天过年
117760	119320	有好多人约了我啊
119320	121200	要跟我视频拜年啊
121200	121560	行吗
121560	122960	那我就呃
122960	124400	争取在一个半小时之内
124400	125520	咱们结束结束啊
125520	127600	今天这一期是一个干的流油的
127600	128800	干的冒烟的期
132160	133640	老王带货从不翻车
133640	134360	cosco的
135480	136680	椰子汁啊
136680	137480	椰子水
137480	138520	coconut water
138520	139600	非常好
139600	141160	补假的啊
141200	143640	就是他把你这个假颜给你补足了以后
143640	146160	你的高血压纳颜就会代谢出去
148160	149640	我一哥们也腰突了
149640	151040	就是饼五年换大运的时候
151040	151480	没错
151480	153080	就是这就这几天啊
153080	154720	所以一定要护好腰啊
155240	157360	腰气不能软啊
157360	158840	所以我就非常的
159480	161640	就是就是就是休息
161640	162440	就躺着
162840	163800	别啪啪啪了
163800	165080	别干大活了啊
165080	165800	重活啊
165800	166760	体力活啊
166760	167400	搬砖啊
167400	168160	搬女人啊
168160	168920	都不行啊
169280	171680	所以这个就没办法
171680	172400	上帝呢
172400	174000	就是有这么规律
174000	174600	好了
174600	175600	也话不多说
175600	176280	进入正题
176280	177080	不会人的啊
177080	177680	差不多了
179000	180080	二十一先放一放
180080	180920	没办法
180920	182120	钱挣不来啊
182120	183320	所以跟大家分享了吧
183960	184480	哎呀
184480	185600	真是没包没招啊
185600	186800	今天俩事啊
186800	188160	今天跟大家不废话
188160	189040	俩事儿
189040	189880	第一个事呢
189880	190720	白送的啊
190720	192200	白送大家无犯罪证明
192200	193120	怎么弄啊
193120	195840	那因为我我知道各位都不是好人啊
195840	196880	我们在中国啊
196880	197720	经商也好
197720	199120	从政也好啊
199120	200520	不犯罪的可能性呢
200520	201520	也不大啊
201520	203040	就是好多都被
203040	204960	尤其是最近这几年疫情之后
204960	206600	好多人都被弄弄弄弄
206600	208200	犯罪证明里边去了
208200	209240	犯罪了
209240	209760	然后呢
209760	211000	就很多人咨询
211000	211640	是怎么办的
211640	212280	犯了罪
212280	214520	难道以后就与移民无关了吗
214520	215520	不是的啊
215520	216720	不是的
216720	217560	所以呢
217560	219080	今天先跟大家讲讲
219080	220720	就是有了犯罪证明
220720	223000	有了犯罪记录之后啊
223000	224800	怎么去实现移民啊
224800	225960	这是第一个事儿啊
225960	227240	第二个事儿呢
227960	228600	这个事儿呢
228600	229760	就是
229760	230200	第二
230200	231760	这个这个信息提供者
231760	234040	就是我的一个中式教友
234040	235520	他指名要在百道会讲
235520	236840	他不让在公共频道讲
236840	238440	那我们就在百道会上见
238440	238960	第二个呢
238960	240440	就是美国
240440	242280	就今天的ENBA大课啊
242280	243560	这今天第二节课呢
243560	246600	主要是给总裁班
246600	248720	董事长班上啊
248720	249840	就是你评
249840	250320	别的人
250320	251280	就当学生
251280	252960	听个热闹吧
252960	253760	非常之深
253760	254760	非常之干
254760	255680	干能能呃
255680	256800	蹭出烟来啊
256800	257920	就是干到就是我
257920	260320	我我已经准备了这么多的指
260320	260880	指稿
260880	261800	我从来不准备指稿
261800	262560	大家知道
262560	264360	但是这个不准备指稿不行了啊
264360	265880	今天啊
265880	266640	话不多说
266640	267920	进入正题
267920	269480	第一个无犯罪证明的事儿啊
271920	272760	免不了的
274280	275120	王叔请问
275120	276120	李强马上上来
276120	277200	经济会好起来吗
277200	277840	你回来吗
277840	278600	不会
278600	279440	不会啊
279440	280840	很难啊
280840	281200	好
283760	284280	开始
285280	287360	无犯罪证明的问题啊
287360	288520	老王大哥您好
288520	289920	他今天非常激动啊
289920	292560	今天去医院书业得了急性未言啊
292560	294800	看到您今天直播说
294800	296320	明天百刀会要讲
296320	298160	有犯罪记录如何认加拿大
298160	300080	我就知道您看了我的信
300080	300640	书完页
300640	301560	我赶快回来
301560	302680	他又写了一封啊
302680	304520	我就把这块的内容再补充一下
304520	305880	力求更清晰
305880	306840	更系统
306840	309080	便于你讲给需要的教友啊
309080	310280	谢谢你啊
310280	312520	我现在不吝分享给大家
312520	313560	首先
313560	315560	我从来没有看到过这样的信息啊
315560	317400	所以这个信息非常值钱
317400	318520	从来没有啊
318520	321840	这首先你在国内有过犯罪记录
321840	324760	并不代表开不出无犯罪记录证明
326400	328480	可以要求派出所开剧
328480	331560	阶段性的无犯罪记录证明
331560	332360	换种方式说
332360	334120	就是你去派出所
334120	337160	你开不出终生的无犯罪记录证明
337160	341320	但你可以开审判前和服刑后
341320	343280	这两个期间的
343280	345320	阶段性的无犯罪记录证明
345320	346640	举例
346640	350640	例如张三出生于1981年1月1日
350640	353560	在2012年2月2日被判刑了一年
353560	356880	于2013年3月3日行满释放
356880	359200	则可以要求派出所开剧
359200	361880	两份无犯罪记录证明分别是
361880	363240	1 张三
363240	368000	1981年1月1日至2012年2月2日期间
368000	369880	无犯罪记录证明
369880	371400	第二张就是张三
371400	374640	2013年3月3日至今天
374640	377520	2026年2月12日之间
377520	379440	无犯罪记录证明
379440	382000	上面的这两份无犯罪记录证明
382000	383960	阶段性的深情
383960	386200	是你修复犯罪记录
386200	389400	英语叫Rehabilitation
389400	390640	这个词是关键字
390640	392400	大家一定要拿笔那本记好
392400	394000	Reh叫二亿
394000	395240	再次的意思
395240	396280	habilitation就是
396280	401480	H-A-B-I-L-I-T-A-T-I-O-N
401480	404640	这是修改无犯罪证明的关键字
404640	409360	Rehabilitation是必须要提供的
409360	411280	这种阶段性的无犯罪证明
411280	412200	不是开玩笑的
412200	413560	是必须要提供的
413560	414760	加拿大要的
414760	416560	千万不要心存侥幸
416560	419840	认为加拿大移民局查不到
419840	421960	你在国内有过犯罪记录
421960	423560	你就自己做一份假的
423560	425240	无犯罪记录证明
425240	428000	因为在国内的裁判文书官方网站上
428000	430800	只要输入你的名字和身份证号码
430800	433800	你所有的犯的罪就一清二楚了
433800	435960	我们老百姓能知道这个
435960	437840	加拿大的专业移民部
437840	439080	他也会知道的
439080	441360	所以千万不要自作聪明
441360	442160	同意道理
442160	444280	美国、澳洲、日本都能查
444280	445720	人家都是能查到的
445720	447840	就是中国文书裁判官网
447840	451920	就是文书.caut.gov.cn
451920	453640	中国政府法院的官网
453640	455320	你有没有犯罪记录
455320	457400	输入你的名字和身份证号码
457400	458760	一目了然
458760	459560	你瞒不住
459560	460440	瞒不住的
460440	462600	所以其次
462600	465800	再向加拿大移民部申请
465800	468520	修复犯罪记录时
468520	472440	首先要明确你的犯罪行为
472440	474880	在加拿大属于什么情况
474880	476760	在加拿大属于严重犯罪
476760	480360	叫serious criminal guilty
480360	481520	就是严重犯罪
481520	482560	重刑犯的
482560	484280	或者属于一般犯罪的
484280	485440	就是清刑犯的
485440	488880	criminality
488880	490720	就是普通的一般的犯罪
490720	492600	前面加个serious
492600	494440	就是重刑犯
494440	496000	两者的区别有什么
496000	496880	区别在于
496880	499240	1.你的犯罪行为
499240	501160	如果发生在加拿大
501160	502600	根据加拿大司法
502600	504400	你可被判处最高刑罚
504400	506160	至少10年的
506160	507600	或10年以上的
507600	508560	有期徒刑的
508560	510880	就属于serious
510880	513040	严重犯罪
513040	515600	如果你的犯罪行为发生在加拿大
515600	517520	根据加拿大的刑事法律
517520	520800	你的判刑在10年以下的
520800	523120	属于一般犯罪
523120	526680	你就按着这个东西来衡量自己的犯罪行为
526680	528840	如果你的犯罪行为属于一般犯罪
528840	530160	就10年以下的
530160	533360	那么你服刑满5年以后
533360	534400	你就可以
534400	535400	你在中国服刑
535400	537960	我们说的情况都是在中国犯罪了
537960	539680	那你说跟加拿大什么关系
539720	541600	那就是因为你中国这个犯罪
541600	542800	这个状态
542800	544600	你这个犯罪项目
544600	545360	比如说你什么
545360	546000	杀人了
546000	546720	强奸了
