start	end	text
0	4000	开始直播看看来了没有啊
4000	7500	今天是会员啊是VIP而且突然袭击
7500	12000	又刚回来刚喝完又喝完一来这边就喝酒
12000	16000	哎呀就跟在北京一模一样啊不停的喝酒
16000	19000	这今儿又被被迫喝茅台
19000	22000	我刚说茅台是假的
22000	25000	还不错效果不错啊
25000	28000	我刚说但是他们也没有别的呀
28000	31000	他们为了表示啊我们当地的朋友
31000	34000	加州当地的朋友为了表示激动
34000	36000	他一定会拿出茅台来的
36000	38000	我也不能说这茅台都是假酒
38000	40000	肯定是茅台出的嘛
40000	44000	所以就今儿晚上喝了二三两
46000	48000	回酒店跟大家聊聊啊
48000	50000	咱们因为咱们现在以后啊
50000	52000	就是主要是VIP直播为主了
52000	55000	相对公开直播啊就是越简单越好
55000	59000	以后再发展不再是这种
59000	61000	在酒店的啊在洛杉矶呢
61000	63000	我又跑洛杉矶来了
63000	66000	洛杉矶我跟大家今天就咱们就会员啊
66000	68000	再聊点实话啊
68000	70000	可玩我不能说的千万不要切百刀会啊
70000	73000	我再一再警告你千万不要切百刀会
73000	75000	因为百刀会这些信息啊
75000	77000	他是真的
77000	81000	你知道佛教为啥有密宗啊有险宗
81000	84000	险宗就是傻逼东东学无所谓
84000	86000	而且学不成啊
86000	88000	80岁寿命啊你这晚上学明白吧
88000	89000	得花160年
89000	90000	不会出事
90000	95000	密宗不是啊密宗是他们直接几句话给你点透了
95000	100000	所以密宗是啊就是密而不宣的宗啊密宗
100000	104000	所以密宗是非常非常讲究这个关门来休息的
104000	107000	所以叫密宗啊密密的密
107000	111000	西藏密宗这个密真正的密是密密的密啊
111000	112000	这才叫密宗
112000	115000	咱们老王来这个频道也是啊
115000	120000	这老王喝不上喝了三两不多啊就喝了三两啊
120000	122000	我故意有意的把时间拉得很长啊
122000	126000	喝了六六点开喝喝了九点
126000	128000	喝了三小时啊
128000	131000	落山机太极吧大了我说
131000	133000	我开车过去喝
133000	135000	我就开了一个小时啊
135000	138000	然后他们的开喝完了往回开
138000	141000	这他们还还救我在罗兰港
141000	144000	在罗兰港喝完了再开回来
144000	147000	半小时那这都很近啊
147000	152000	就在落山机半个小时车程就是非常非常体贴你啊
152000	155000	半个小时而已
155000	158000	老王能不能开一下推我他们推一直开着呢
158000	161000	什么玩意儿这说哪年的事呢
161000	164000	开了他们快三个月了啊
164000	169000	谁这是说这么年或者说想我潮一边
170000	174000	所以千万别切百刀会
174000	179000	那个我老婆现在就是挺重视这事儿的
179000	182000	因为家里有老人有孩子
182000	185000	毕竟不愿意跟共产党打脸
185000	187000	我不愿意打共产党的脸
187000	189000	大家给我留着点儿
189000	191000	切百刀会的在油管上切的我全都给删了
191000	193000	我全都连频道给你拔掉
193000	195000	一点不客气啊
195000	198000	所以这个一再强谬啊百刀会
198000	200000	不要搞这一事
200000	202000	跟大家聊什么呢今天
202000	204000	跟大家聊聊共产党啊
204000	207000	含党量太高你肯定不能割外边
207000	209000	更不能切随便聊聊
209000	211000	我刚才当当当大家的嘴蹄吧
211000	212000	明天还百刀会啊
212000	213000	周四吧
213000	215000	明天如果要是我没有大酒
215000	218000	明天我再跟做一个正式的百刀会
218000	221000	今天就跟大家闲聊穷聊几句
221000	224000	就是共产党的水有多深
224000	226000	一方面我们说共产党是个草台班子
226000	228000	他确实是个草台班子
228000	230000	但是另一方面呢
230000	233000	这个世界就是个草台班子的过程
233000	236000	你说谁不是草台班子呢
236000	240000	皇上的时候那皇族肯定不是草台班子
240000	242000	皇上没有了呀
242000	243000	现在没有皇上了
243000	245000	都他们的退化了都变成了
245000	247000	都变成了这个激工尽力的主了
247000	252000	所以有王朝的时候到了第三代第四代
252000	255000	就是老爹打下来江山
255000	257000	这个都是草台班子
257000	260000	到了第三代第四代就不草台了
260000	262000	你哥共产党这个
262000	265000	都是几把平民百姓爬上去的
265000	267000	那好人也上不去呀
267000	269000	好人能在那个体制内能爬上去吗
269000	271000	所以他就必然是草台班子
271000	274000	中国不光其实不光是中国
274000	276000	任何一个东亚国家
276000	278000	中国日本韩国
278000	279000	你就看吧
279000	281000	他有皇上的国家他就干的好
281000	283000	你就我就
283000	284000	我不怕你们骂我
284000	286000	因为我相信咱们
286000	288000	百道会还都是
288000	290000	还都是比较高素质的
290000	293000	都是比较能理性思索的
293000	296000	你想想是不是泰国有皇上
296000	297000	马来西亚没皇上
297000	298000	柬埔寨没皇上
298000	299000	越南没皇上
299000	301000	你看是不是泰国最好
301000	302000	相对来说
302000	303000	我说错了
303000	304000	马来西亚有皇上
304000	305000	泰国有皇上
305000	306000	马来西亚有皇上
306000	308000	所以泰国马来西亚就是那最好的
308000	310000	别给我说新加坡啊
310000	311000	不算啊
311000	312000	就说这些大国
312000	313000	国土编辑比较大的
313000	314000	东南亚 中国
314000	316000	你看东北亚 三国
316000	317000	中日韩
317000	319000	中日韩朝
319000	320000	有皇上呢
320000	322000	明正言顺的日本有皇上
322000	324000	日本有国王 日本有皇上
324000	326000	那日本就就是好
326000	327000	为什么呢
327000	330000	就是因为皇上不是选的
330000	332000	而皇上又是
332000	334000	又是最高领导人
334000	335000	所以呢
335000	336000	大家争来争去
336000	338000	实际上在争二把手
338000	339000	所以说
339000	341000	郡主立宪实权在总理
341000	343000	但是总理是可以换的
343000	345000	皇上不能换
345000	347000	皇上又没实权
347000	349000	所以自然就造成了
349000	351000	一种稳定状态
351000	353000	它这种政治体制是相当稳定的
353000	355000	因为老百姓中的精英
355000	357000	或者世家大组里的精英
357000	359000	你争的是首相
359000	361000	你争的是政权
361000	363000	你争不了国权
363000	365000	国权就是皇上家的
365000	367000	这就是郡主立宪的好处
367000	368000	你服不服
368000	370000	我就今天我跟弟兄们讲
370000	371000	我说你割中国
371000	372000	你要是一人一票
372000	373000	民主选举
373000	374000	我跟你讲
374000	376000	决逼李洪志能选上去
376000	378000	李洪志决逼选上去了
378000	381000	法轮功党员多了就这么简单
381000	383000	我说实话
383000	384000	我不怕法轮功恨我
384000	385000	我说实话
385000	386000	我说实话
386000	388000	我宁可共产党在上面
388000	390000	我也不愿意法轮功在上面
390000	391000	为什么呢
391000	393000	因为共产党在上面我怕他
393000	395000	法轮功在上面
395000	397000	我倒不怕他
397000	399000	我说倒是挺文明的
399000	400000	这些人
400000	402000	讲道理
402000	404000	但是总觉得身体和心理上
404000	406000	接受不了
406000	407000	大家知道吧
407000	410000	总觉得他是个宗教
410000	412000	搞政教合一
412000	413000	你这选上去
413000	414000	这不合适
414000	416000	你说没有法轮功的话
416000	417000	除了法轮功的话
417000	419000	谁还能拿几千万票
419000	421000	你除了法轮功和共产党之外
421000	423000	谁还能拿几千万票
423000	425000	所以我跟你讲
425000	426000	你们别骂我
426000	427000	我跟你讲
427000	428000	我的心理就是
428000	429000	中国有皇上
429000	430000	你们最好了
430000	431000	君主立宪有皇上
431000	433000	这个国家稳定点
433000	434000	咱们这些牛逼人
434000	436000	咱们都争民主选举
436000	437000	是民主选举
437000	438000	民主选举选什么
438000	440000	民主选举选总理
440000	442000	就跟我们加拿大跟日本一样
442000	444000	也是投票选的
444000	446000	选的是总理和首相
446000	447000	你这个国家
447000	449000	你要承认这个国家的落后
449000	451000	大部分人是傻逼
451000	453000	你给他妈逼他一人一票
453000	454000	连美国都扛不住
454000	455000	你看一人一票
455000	457000	连加拿大都扛不住
457000	458000	选出来的领导人
458000	460000	经常是很荒谬的
460000	462000	所以你说何况中国呼
462000	464000	中国的人口平静素质
464000	467000	肯定要比加拿大和美国要低很多
467000	469000	所以咱们说点
469000	470000	说点实话
470000	471000	聊聊共产党
471000	473000	再有一个就是共产内部
473000	474000	我跟你们说点
474000	476000	你们不知道的
476000	478000	就是大家在这个从事
478000	480000	反共爱国运动的时候
480000	482000	一定要保持理性
483000	485000	你要知道共产党有多大的影响力
485000	487000	我不是吓唬大家替共产党说话
487000	488000	我告诉你们
488000	490000	海外民运
490000	493000	被共产党渗透的就跟筛子一样
493000	496000	你看哪个海外民运在这我都敢讲
496000	498000	谁被渗透成筛子
498000	501000	我都可以点名
501000	503000	你敢说你没拿过共产党的东西吗
503000	506000	你敢说你没拿过共产党的风波学
506000	508000	你还在这装什么毕业
508000	509000	只不过共产党给你留面子
509000	510000	你自己也要脸
510000	511000	你不承认而已
511000	515000	所以真正不愿意跟共产党同流合污的
515000	516000	就是少数派
516000	519000	这么多年兼职下来的少数派
519000	523000	大部分人尤其是到了晚年
523000	525000	这是人快死的时候
525000	527000	最后还有个十年八年
527000	529000	扬寿不高的时候
529000	532000	他就有夜落归根的冲动
532000	534000	这可以理解吗
534000	537000	往往这个时候他反而投共了
537000	538000	一看共产党没倒
538000	540000	而且还挺牛逼的
540000	542000	他就选择投共
542000	544000	你们想不到吧
544000	550000	咱们讲当年香港的人民
550000	552000	香港的黑社会
552000	553000	包括红门
553000	554000	在8964的时候
554000	557000	帮很多中国的学生
557000	559000	偷渡跑到美国跑到法国
559000	560000	大家知道这一段吧
560000	563000	叫黄鸟熊行动
563000	565000	是可不可弃的一幕
565000	566000	非常的牛逼
566000	569000	因为当时共产党8964一开枪
569000	571000	铺壳牌通缉令
571000	573000	通缉那些大学生
573000	575000	王丹沃尔开袭柴灵日
575000	576000	一通缉
576000	578000	孩子们没地方跑
578000	581000	必须跑出逃出魔爪
581000	585000	当年就是香港的黑社会
585000	586000	黑道
586000	587000	江湖
587000	589000	组织
589000	590000	一直运到香港
590000	591000	最后法国
591000	593000	美国都给身份跑了
593000	595000	从香港都走了
595000	597000	这个就叫黄鸟行动
597000	600000	这所谓的后来的民运领袖
600000	603000	包括那个华冰美国冠军
603000	604000	刘俊国的
604000	605000	刘俊国就是那个
605000	607000	阿里斯尔的爸爸
607000	609000	都是这么出去的
609000	610000	可是你们没有想
610000	611000	黄雀行动
