start	end	text
0	1000	调出来
2680	4480	Hello大家好
5760	7320	开始直播
9120	10640	声音如何
10960	13280	开始直播声音如何
13280	14280	不要骂了
14640	17000	我迟到这个不是托堂
17000	19240	我这个托堂不是正常的吗
19240	20000	调出来
20320	21760	好了声音良好
21760	22440	Hello
23160	24440	Hello大家好
24440	26560	好久好久不见了
26560	27560	好久不见了
28560	31880	摆刀会的教友是前天
32400	33200	经纪三
34760	37200	公众教友已经四天五天没见了
38040	42320	因为我在LA我在洛杉矶
43880	45480	所以一到洛杉矶
46200	48560	我这个就是全乱了
48560	50440	我的周期全乱了
51000	54000	我现在来洛杉矶基本上是立价
54000	55160	我就来立价
55880	58040	我掐指一算
58040	61600	差不多一个月来那么五六天
62640	64600	就是完全是立价的状态
64840	67360	这就是我到我目前的状态
69720	70800	压力山大
70800	73040	是我在洛杉矶
73040	77720	我住这地方叫Costa Mesa
78160	83080	在Newport和Ervin之间
83080	84800	有一个地方叫Costa Mesa
84840	86680	反正就是我也不知道
86680	87560	是在Newport的
87560	89280	还是Costa Mesa
89280	91520	反正就是这么一个地方
93600	94240	对
95520	97320	伦敦时间3点46毫
97320	98840	家伙听到小少傅的声音
98840	99600	那不可能
99720	101400	小少傅们都不在这
102240	103400	谁把我评论删了
103400	103680	没有
103680	106560	我把所有拉黑小黑物理的
106560	107280	全放出来了
108720	110400	杨阿格菲德
110520	111000	谢谢你
111160	112040	祝你发大财
112160	113440	真是 真会
113720	114400	真是这个
115520	117800	开门就给我打赏
117800	118640	真棒
119360	121480	这个新百刀会长假了
121480	122360	没有仗价呀
122360	123160	没有仗价
125040	126040	老王咋帅了
126040	126920	没有帅
128280	128680	对了
128680	130040	以后咱们直播时间什么
130040	131400	周一周三周五
131400	133520	以后直播全部调成一三五
133760	136000	周一周五公开直播
136000	137280	周三百刀会
137640	138960	周一周三周五
139920	142160	大家习惯了就好了
143160	145760	尽量的降低直播周期
146760	147560	老王剪头
147560	148120	没剪
148120	148760	没剪
148760	150560	是因为我一个人
151680	152560	老婆孩子不在
152560	156240	所以就相对潦草了一点
158400	160240	L.A.科技狠魂厉害联终
160240	160560	是
160560	161680	你大家都发现了吗
161680	162200	现在
162200	163560	因为我是个透明人
163560	164880	那么你们也没有
164880	166760	我在你们面前也没有秘密
166760	168520	老王不就这点事吗
169080	169920	抽烟
169920	170720	喝酒
172080	173240	经常理发
173240	174320	不烫头
174320	175440	就是这点事
175440	177040	所以我一到L.A.
177040	177760	你看我们
177760	178560	大家发现了吗
178560	179440	连准种
180040	181640	24小时以后连种
182320	184440	眼睛都变小一圈
