start	end	text
0	500	完了
1700	4000	嗨 开始直播
4000	5300	看看来了没有啊
6300	9100	看看我自己这边来了没有
11400	12800	蹭个热点啊
12800	13800	开始
13800	14800	哎来了好
15800	17400	大家好
17400	19000	大家好哎呀
19000	19500	今天是
22600	24300	我太开心了
24300	24700	哎呀
27600	29700	我一想到这个事我就想想
29700	31500	你认为美国会不会打伊朗
31500	34700	美国成个叮当下家里面啥也没有
34700	36100	每天都在装逼
37000	37900	他敢打吗
38600	40500	给他一千个打人都不敢打
40500	42600	美国敢下场打伊朗吗
42600	43400	说实话
43400	44800	他真的不敢
44800	47800	这里指的不敢并不是说美国巨怕伊朗
47800	50500	而是鸡蛋背后中俄两个军事大国
50500	52000	中俄两个军事大国
52600	53100	不敢
53100	55700	不管谁攻了就敢说美国敢打伊朗
55700	56500	吹牛逼
56500	58100	我吹牛逼了
59100	60400	不敢吗
64200	65300	李丽女士
68600	70000	哇我觉得关键是
72300	73800	以色列冲到最前面
75400	77700	如果拿住了以色列这是央视哦
79000	82500	李丽啊眼镜娘满洲眼镜娘啊
85400	87000	央视就这水平
87700	88300	不敢打
90900	92000	伊朗抓得狠嘴
93500	94100	不示弱
96000	97000	抓住了以色列
102400	104400	只要美国发出第一枚导弹
104400	105600	以色列就灭亡伊朗
105600	106800	啊把伊朗就灭亡以色列
110400	111000	我打一次
117500	119100	啥玩意啊
120000	121400	啥水平啊
121400	121800	我操
122700	123800	可以了吧
123800	124700	够了吧
128000	130900	中国中央电视台
130900	133500	中国中央电视台军事频道的专家们
134600	138500	中国的这些所谓的这些大拿们
138500	139400	我去你嘛
139400	141900	你们掌不掌点记性啊
141900	143800	你们要不要点逼脸呀
143800	144200	我操
144200	146600	你们是不是人揍的呀
146600	149200	从我是小朋友的时候
150200	152600	我他们现在已经变成老头子了
152600	154800	从我他们还是小朋友的时候
156200	159000	你们就在那扯鸡八蛋
159000	161400	就说美军是指老虎
161400	163600	美国人的武器都是他妈的不惊
164400	166300	不惊一捅的
166300	167000	那个时候啊
167000	169300	想想当年我小时候啊
169300	172400	那个叫沙漠风暴
172400	175200	就是萨达母猴赛因
175300	176400	脑子有屎
176400	177800	他就进攻了
177800	180000	他就攻下了科威特
180000	182600	然后美国人就开始老布什总统时代
182600	183500	就开始屯兵
184400	185800	中东海湾战争
185800	187800	就把他们的伊拉克给打回去了
187800	188800	好家伙
188800	192700	那之前那个我们中国张少忠教授的一个解释
192700	195300	然后就是那叫沙漠军刀行动
195300	196800	然后又是沙漠风暴行动
198200	199900	最后就是把伊拉克灭国了
201000	201800	过了几年之后
201800	203000	小布什总统
203000	204900	就是老布什的儿子梦德
204900	205400	曹梦德
205400	206600	谢谢你祝你发大财
207800	208700	大家好啊
208700	209200	我操
209200	212000	这个我结果太高兴了
212000	216000	我他们已经我已经那么语无伦次了
216000	219500	今天是2月28号一个值得纪念的日子
219500	220200	贼疾疤
220200	221600	纪的值得纪念的日子
221600	222900	2月28号星期六
224100	224800	操
224800	225200	妈的
225200	228100	美国美国和以色列开始干一朗
228100	229100	不到他们一天
229100	230400	不到24小时
230400	232500	把哈梅那一给干死了
233500	235800	哈梅那一为什么一点都不慌
235800	238600	为什么哈梅那一一点都不惊慌
238600	240400	因为他已经下傻了
240400	241500	他是不惊慌
241500	242700	下的他们的已经
242700	243900	他们的呆若目击
243900	246100	当然不惊慌目击吗
246100	248100	所以一天干死了
248100	248800	操
248800	250500	然后刚才我给大家听就是
250500	251000	哎呦
251000	252900	之前那个中国的各种专家
252900	255100	中国的还有叫王冲的大傻逼啊
255100	256400	王冲你个大傻逼
256400	257500	你应该切腹
258900	261200	各种说啊牛逼哄哄
261200	264100	美国不可能打就是这吓我人
264100	265600	操你们有那么吓唬人的吗
265600	268900	把把半数的海军力量空军力量投入到
268900	270900	波斯湾那个小地方吓唬人是吧
270900	272100	你们是不是
272100	274000	你们是不是蠢傻逼
274000	275300	我操
275300	276500	你们是不是蠢傻
276500	277500	是不是让我说对了
278500	280600	我操你这这我阳梅土气了吧
280600	282600	我说一般会选一个周末干
282600	284000	又是这些周末
284000	285700	然后前天我说的
285700	288900	我说我说我前天晚上说
288900	289800	明天晚上会干
289800	290600	为什么呢
290600	292500	因为六星连珠了
292500	294700	而且这次连的特别好
294700	297300	大家知道六星连珠就是六颗行星啊
297300	298100	金木水和土
300200	302600	连成一条线的这种天象啊
302600	304900	自古以来的预示这大事要发生
306100	308600	所以这出现这个情况就高度的怀疑
308600	313500	当然美国五角大楼的汉堡包和三明治指数也上去了
