start	end	text
0	26000	直播转换失败,没出现过,再试一把啊,应该没问题,开始直播啊,今天没吃饭,今天晚上做完饭,忽然头疼,头疼欲裂,就是赶紧去睡了一会儿,嗯,吃一个3D糖啊,你别想别甩锅啊,这糖真的是很好。
30000	34000	来了没有?来了没有?
35000	37000	为什么还没有来?
38000	40000	为什么还没有来?
52000	55000	CCCCCCCCC
55000	56000	对,我说的就是你
56000	74000	你家老爷子,哥尔莫里延场的老领导,可惜我回不去啊。我要是回去的话,一定要现场去参拜啊。
74000	83000	好了,回来了,我终于看到了,3D的糖排期的半个月了。对,这个因为我带货嘛,非常严格的。
83000	88200	我要求他一定是不能说订单多了就大批量生产
88200	89800	就是一小锅一小锅熬
92320	93120	会人了
93320	94360	会人了
94600	95480	真的是很好
95480	97480	他这个糖第一你不喝的话
97800	99840	第二你吃起来停不下来
100640	101520	还挺好的
103280	103960	非常棒
103960	104840	生意是吧
105520	109480	我们今天的毛泽东私人医生的事
110200	111080	最后再见的时候
111080	111480	行
111480	114480	最后我给你们讲讲李志随的事
114480	118480	那你要问洛杉矶那些反贼圈里边那些
118480	120480	那些鸡皮狗糟的事
120480	121480	你就问我就得了
121480	123480	你们知道老王
123480	126480	老王那人平生一大爱好就是逼屌
126480	130480	所以他妈的这些事我特别三八
130480	131480	我打听的特别清楚
131480	133480	虽然我不是他们那个圈里的
133480	135480	但是他们圈里发生了什么
135480	136480	我都很知道
136480	138480	曲奇很好吃
138480	140480	有的人更喜欢曲奇
140480	142080	就中间有一小红的
142080	144440	还有人特别喜欢他那个巧克力
144440	146480	因为我们家小安的
147760	148520	就是小闺蜜
148520	149640	他是不吃巧克力的
149640	152960	但是他见了三弟的巧克力糖巧克力饼干以后
152960	154760	他不停的吃
154760	157280	就是这个三弟这个人啊
157280	158880	确实是他的啊
158880	160400	他是个他是个天才
161560	164960	叫主韩国那个白沙滩在哪
164960	168480	在那个你你要promise我啊
168480	174880	就是大家一定要不许去白沙滩偷那个沙子
174880	176400	就是不许偷啊
176400	179640	因为我相信百道会的素质
179640	182040	第一不要丢中国人的脸
182040	184960	不要租了车以后给人撞坏了
184960	187120	第二撞坏了就跑
187120	187720	不要这样
187720	189840	要遵守交通规则
189840	191840	去白沙滩不要污染环境
191840	192640	不要大吵大闹
192640	195000	不要偷那个沙子
195000	196960	那个沙子拿一把少一把
196960	198400	在哪儿在牛岛
199280	200400	你就谷歌地图
200400	201840	你就查几周岛旁边
201840	203440	有个小小的岛叫牛岛
203440	204960	那牛岛在正北方
205440	207160	那你就去那儿就知道了
207440	210080	那就是牛羊的牛
210080	210840	牛马的牛
212240	213400	白沙滩羊气很重
213400	214240	对是
217400	218400	糖是不错
218400	219080	挺好吃的
219400	219920	是吧
220760	222560	3D的微信是多少能分享
222560	222960	行
222960	224440	我看看我那么记不住
224720	225760	3D的微信
225760	230760	Nana201bj3D的微信vchart
230760	232760	看
232760	234760	这不是3D的微信吗
234760	238760	Nana201bj电话E-mail都在啊
238760	241760	还有两个微信
241760	243760	还有个3D王0578
243760	244760	反正就是
244760	247760	这个是可复购的
247760	250760	因为我现在去洛杉矶每次带6盒
250760	253760	就是因为我的一个手拉杆箱放满
253760	256760	六盒就是伴手礼
256760	258760	跟这些老朋友们见见面
258760	260760	送给他们一点伴手礼
260760	261760	这是最合适的
261760	263760	没有一个说不好吃的
263760	264760	没有一个说不好吃
264760	266760	确实是好东西
266760	269760	好了我们今天是星期三
269760	271760	摆道会我们会员的日子
271760	273760	会员我就特别放松
273760	274760	我就心情特别好
274760	276760	因为确确实实这个钱
276760	278760	虽然很俗
278760	279760	钱确实是个门槛
279760	282760	它能把低素质人口给它排出去
282760	312720	打傻逼呢,就会少很多,那我们今天是星期三啊,3月4号,嗯,我现在是7点40啊,我这表快了三分钟,made in china,他妈的,不太准啊,我呢,跟大家聊今天,今天就跟大家聊聊AI,我们今天就完全是一次畅详啊,就是那个你们听一听资本大佬啊,就是一个老老灯啊,绝必绝必是个老灯,呃,已经被时代淘汰了,
312760	316760	这么一个老灯 这种老灯就这种老灯啊
316760	320760	忽然又进入到 哎 这是谁打上我 谢谢你啊
320760	324760	LVZZH教主 我是玩具小张啊
324760	327760	玩具小张啊 我不给你算 我不给你算
327760	329760	我收到了你的email了
329760	331760	我也知道你跟你老婆的问题了
331760	336760	我也知道你在这个困扰里边
336760	339760	在这个情观的困扰里边 你很痛苦
339760	341760	但是呢
341760	342760	我就不跟你算了
342760	343760	为什么呢
343760	344760	你生活不易
344760	346760	你挣这点钱也不容易
346760	348760	你不要浪费这个钱
348760	350760	这个缘分
350760	352760	尤其是夫妻的缘分
352760	354760	它是讲究缘的
354760	357760	命中有时
357760	358760	终须有
358760	359760	命里无时
359760	360760	莫强求
360760	362760	一定要放宽心
362760	364760	这个你呢
364760	365760	长得也很帅
365760	367760	工作也很稳定
367760	370320	三藩那也是好地方
370320	372640	所以天涯何处无芳草
372640	374560	此处不留爷
374560	375560	自有留爷处
375560	376720	不要太纠结
376720	378000	真的没有必要
378000	379320	情啊
379320	381520	问世间情为何物
381520	382840	情啊
382840	385280	就是你当它有
385280	385840	它就有
385840	386720	你不当它有
386720	387880	它就真没了
387880	391040	所以不要把这个东西想的太严重
391040	391440	好吧
391440	392480	你这情况我看了
392480	394640	你们俩的分开不是坏事
394640	396000	所谓
396000	397600	宁拆十座庙
397600	398640	不拆一樁婚
398960	400120	这是中国传统的
400240	402720	但是从我对你的情况的了解
402960	404560	和你这个状态
404800	407360	我倒劝你要拿性放下
408240	408560	好了
408560	411680	所以我就不给你送评
411760	413400	送评去听卢社长
413920	415080	听床诗专用的
415240	416280	听我的没用
417800	418240	好了
418600	421560	我们一家三地微信
421560	423040	是你的就是你的
423040	423840	想他干嘛
425440	426080	怎么讲
426240	426720	人
427600	430760	这就叫当举者弥 旁观者情
431320	433560	你就是站在月球看地球的时候
433560	434960	全他妈是明白人
435160	436320	搁自己身上了
436560	438000	那逼是自己凑的
438320	439440	凑上瘾了
439440	441600	你就是困在情网之中
442320	443120	女人也一样
443120	444440	那根屌是你加上瘾了
444440	445320	你就他妈的
445320	446880	就是完全就是失智了
447280	448280	所以这个事呢
448280	450240	就是为什么说修行人
450440	452000	第一要断的就是情
452320	455280	修行人第一要断的就是叫戒色
455280	458840	其实修行人戒色不是目的
458840	461880	相反你弄的阴阳双修啊
461880	463720	天地交欢啊
463720	467360	这个得玉女之术啊
467360	469480	或者采阳补阴之术
469480	470600	倒是好事
470600	473240	为什么修行人让你戒色呢
473240	474920	其实就是怕你生情
474920	477160	怕你陷入情网
477160	479240	情乃是迷障也
479240	480360	情啊
480360	481600	就是爱情啊
481600	483360	男女之间的爱情是个迷障
483360	484560	他不是说
484560	485640	当然他很美好
486280	487560	正是因为他很美好
488000	488800	他才是弥杖
488880	490280	就像他们毒品一样
490320	490760	我跟你们说
490760	491560	毒品很好
491760	493320	希望以后能成仙了
493440	494320	但是大家知道
494320	496360	吸毒的人能有一个好下场吗
496560	498720	所以在修行的法门上
498920	500920	在修行的道路上
500920	502640	各大宗教的修行道路上
502640	503480	都认为
503880	505960	男女男欢女爱之情
506440	508360	乃是一种弥杖
508560	509760	迷了你的眼
510880	512320	所以这个小伙子
512440	514160	就是湾区这个小伙子叫张
514160	515760	你现在就在这个迷障里边
516480	517120	好了
519680	521480	所以我就不跟你算了
521480	522800	今天我们共同
522800	524120	因为我也不是这个行业的
525400	528320	我相信我的教友里边有很多这个行业的
528320	529560	就是AI这个行业的
529600	533040	今天我们就畅详
533880	536320	我对AI现在也开始有了解了
536320	538320	从排斥到接触
538520	540840	到现在我紧密的跟随
540840	544160	我认为未来两个大赛道
544160	545880	一个是ai一个是能源
545880	548000	能源和ai是相互相承的
548000	549800	正是因为ai大发展
549800	551080	所以能源跟不上
551080	554000	所以未来的人类就是这两大赛道
554000	555360	两个风口
555360	556560	未来20年
556560	557760	至少是20年
557760	559320	maybe longer
559320	563640	所以我们就像我当年能挣着钱一样
563640	564880	我玩就把钱挣了
564880	565240	为什么
565240	567440	我能提前20年就看见黄金涨了
567440	570080	所以我就做一颗黄金
570800	571600	那不就
573320	574440	我其实很笨
574440	576320	我就跟那巴斯普鲁恩斯一样
576880	577760	打那场海战
577760	579120	其实只会的乱七八糟的
579120	580480	但是那你没办法
580640	582120	那你就算准了
582120	585040	那你肯定想输都来不及
585360	586720	想输都不行
586760	587080	好了
587080	588760	我们接着聊
591120	594480	我去年重仓黄金和电网设备基金收益很好
594800	597040	那你可以继续拿着
598040	599040	还会很好
599040	602040	一会儿我给你们讲真正的问题在哪
602040	604040	其实发电倒在其次
604040	605040	发电很简单
605040	607040	大不了买几个发电机
607040	610040	真正的坎就在于电网设备
610040	614040	变电站 电压器 变压器
614040	617040	高幅的那种变压器
617040	619040	美国没有
619040	622040	美国在这方面的空白太多了
622040	624040	所以我们聊一下AI
624040	627040	今天聊一下畅想AI的进化路径
627040	630960	以及推出的为什么英伟达不会再独领风骚
630960	634520	而台积电依然会独领风骚
634520	635880	这是我的观点
635880	638320	抛砖引玉跟大家畅聊
638320	640520	首先我们要聊第一个话题
640520	644920	就是AI和去红色产业链之间的关系
644920	649360	AI怎么让美国难受
649360	651360	大家知道啊
651360	652920	传统的人类世界
652920	654600	从以物易物
654600	656400	我的石刀换你的石斧
656400	661200	到发明了初级的钱币 贝壳 贝壳最早的贝壳
661200	668200	然后发明元星 方孔钱 最后发明纸币 最后发明电子化的符号货币
668200	674600	这一步一步的走 就是什么呢 就是什么呢 颠覆人类的这种发展
674600	680800	AI也一样 AI也在开始颠覆人类的一些观念
680800	684800	比如说,比如说川普制裁中国
684800	689800	他就是鞋、袜子、汽车、李电池
689800	691800	他给你上税
691800	694800	因为他认为这个东西我收了你的税
694800	696800	我就卡住你的脖子了
696800	698800	但是现在出现了一个什么东西呢
698800	701800	就最近这一两年出现什么东西
701800	702800	你不是卡中国的脖子吗
702800	704800	中国就出现了大量的计算中心
704800	705800	因为什么
705800	706800	因为中国的店便宜
706800	708800	大家知道中国的店越来越便宜
708800	711800	因为你的光伏面板也出口不了美国了
