start	end	text
0	2240	OpenCloud近期的热度持续高涨
2240	4000	我的OpenCloud入门视频
4000	5840	获得了全网500多万的播放
5840	8160	本期视频再带来一个进阶教程
8160	11560	分别从记忆系统、网络搜索、云服器部署
11560	16280	接入个人微信、原声飞输插件、安装skills、多agents功能
16280	18160	心跳机制等几个章节
18160	21000	再来深入探讨下OpenCloud的高级玩法
22040	24840	最近一个月OpenCloud进行了许多次升级
24840	26680	安装过程也发生了一些变化
26680	28240	我们再来快速的过一遍
28280	30920	这里我还是以手头的这台Mac mini为例
30920	33160	首先第一步就是安装Note的js
33160	34920	我们先打开一个命令行中端
34920	36600	我们来到Note的js的官网
36600	38120	先把第一个命令复制一下
38120	38880	来到中端
38880	40080	粘贴过来执行一下
40080	41840	如果网络连接不上github
41840	43960	可以把第一个命令换成这两条
43960	45720	接下来我们复制第二个命令
45720	46840	粘贴进来执行
46840	48360	第三个命令粘贴进来
48360	50440	这样Note的js就安装完成了
50440	52320	然后我们来到OpenCloud的官网
52320	55400	在下面的安装命令这里找到npm的方式
55400	56000	复制一下
56000	57320	在中端里执行一下
57360	58480	这样就安装完成
58480	60040	接下来我们输入这个命令
60040	62440	OpenCloud Unboard来进行一下初始化
62440	63520	第一个选择Yes
63520	64600	选快速开始
64600	66800	这里选择一个AA模型的供应商
66800	68800	OpenCloud消耗Token比较厉害
68800	71160	所以最好我们使用Coding Plan来对接
71160	73080	因为Coding Plan一般是按次数
73080	74400	而不按Token击废
74400	75600	所以这样比较划算
75600	78680	国内的几个AA厂商都推出了自己的Coding Plan
78680	80280	这里我以minimax为例
80280	83480	这里我在它国内版的官网先开通一个Coding Plan
83480	85760	这里的登录方式选择OOS
85760	87320	国内版官网选择CNN
87320	89520	然后会自动打开一个浏览器页面
89520	90560	我们点击授权
90560	93200	回到OpenCloud这里选择默认模型
93200	94320	接入聊天工具
94320	96160	我们先选择最下面的跳过
96160	98120	视频的后面我们会介绍飞书
98120	99800	还有个人微信的接入方式
99800	100960	然后配置技能
100960	102080	这里先选择No
102080	103040	选择Skip
103040	104080	点击一下空格
104080	104600	回车
104600	106240	选择OpenIn WebUI
106240	106960	打个招呼
106960	108080	这里能给出回答
108080	109600	我们就完全配置成功了
109600	111280	我们安装完OpenCloud以后
111280	113280	第一件事就是来修改一个配置
113280	115080	在空日台这里找到配置
115120	117400	然后找到下面的弱偶原始文件这里
117400	119600	在Messing in这个默认的配置下面
119600	121240	OpenCloud只能进行聊天
121240	122880	它几乎什么事情也做不了
122880	124520	所以这里我们要改成Four
124520	126800	让它有调用所有工具的权限
126800	127960	这里点击保存
127960	129000	然后点击Reload
130000	132920	我们先来深入了解下OpenCloud的记忆系统
132920	134360	打开用户文件夹
134360	135360	点OpenCloud
135360	137640	然后进入Workspace这个文件夹
137640	139160	这里面有很多个文件
139160	141880	这些文件就组成了OpenCloud的记忆系统
141880	144760	其中最重要的是Agent.md文件
144760	147320	这里面就是关于OpenCloud的工作规范
147320	149720	可以花时间仔细读一下这个文件
149720	152640	对于了解OpenCloud的工作机制会很有帮助
152640	157000	Identity跟So.md里面保存的是OpenCloud的自我认知
157000	160480	User.md文件里面保存的是对用户的认知
160480	163840	Tooth.md保存的是工具调用的相关知识
163840	166920	Memory.md是OpenCloud的长期记忆
166920	168680	还有一个Memory文件夹
168680	171080	里面按天存放的是短期记忆
171080	173600	如果OpenCloud的行为不符合预期
173600	176800	我们就可以修改以上这些文件来纠正它的行为
176800	180200	这里面还有个比较特殊的文件是Harlebit.md
180200	182000	这个是新跳机制的文件
182000	183720	我们视频的后版段再来看
184520	187240	我们新装的OpenCloud有个比较严重的问题
187240	189200	就是它的搜索功能是缺失的
189200	192240	这里我让它搜索一下OpenCloud的最新版本是什么
192240	194360	它调用了一个工具叫做Web Search
194360	195720	紧接着它爆了一个错
195720	197520	叫Missing Brave API key
197520	199800	也就是OpenCloud的原生搜索能力
199800	202000	它必须借助于Brave的API
202040	204120	但是这里的API key还没有配置
204120	206640	获取这么一个Brave的API还比较麻烦
206640	209920	所以这里我们使用Skills的方式来把它修复一下
209920	211440	这里我们来到Cloud Hub
211440	214080	这是OpenCloud的官方Skills市场
214080	216320	这里面我们要装的是热度第二的
216320	217760	Tevally Web Search Skill
217760	219560	我们把这个链接复制一下
219560	221320	然后直接丢给OpenCloud
221320	223600	Tevally Search也需要一个API key
223600	225000	不过这个比较容易获取
225000	226200	我们先来配置一下
226200	228640	在下面有一个API key的获取方式
228640	229640	我们来到这个地址
229640	230640	右上角Login
230640	232240	这里有一个免费的API key
232240	233960	每个月可以使用1000次
233960	235520	把这个API key复制一下
235520	237640	我的API key是后面这一串
237640	238680	帮我保存下来
238680	239240	开始
239240	240800	OpenCloud最后执行命令
240800	242200	把自己重启了一下
242200	243680	这样就安装完成了
243680	244840	我们来到用户
244840	246560	点OpenCloud这个文件夹
246560	247920	进来以后我们来修改
247920	250320	这个OpenCloud点Jason这个配置文件
250320	252560	在tooth这里添加上这一段
252560	253920	记得在这里打个逗号
253920	255120	这一段的意思是
255120	258000	把它默认的搜索功能给它关闭掉
258000	259600	然后我们进入Workspace
259680	261600	进入tooth.md这个文件
261600	263440	我们添加上这么一段提示词
263440	265280	告诉它在网络搜索的时候
265280	267680	优先使用Teverly Search这个skill
267680	269600	然后我们重启一下OpenCloud
269600	271880	我们再来测试一下它的搜索功能
271880	273320	这里我问它搜索下
273320	275040	OpenCloud的最新版本是什么
275040	275960	我们看到这次
275960	277760	它就没有再使用默认工具了
277760	279440	它先读取了这个skill
279440	282080	然后通过执行这个skill里面的脚本
282080	283040	完成了搜索
283040	284640	最后给了我们正确答案
284640	285840	效果非常的不错
285840	287480	这样我们通过添加skill
287480	289280	还有修改配置文件的方式
289320	292080	成功修复了OpenCloud的连网搜索功能
292080	293280	在Cloud Hub上面
293280	295440	还有一个非常好用的搜索技能
295440	297120	叫做Multi-Search Engine
297120	298520	我们把它也安装一下
298520	300400	这个skills的原理很简单
300400	302320	就是直接调用下面这些网站
302320	304760	也就是各个搜索引擎完成搜索
304760	306360	它不需要任何的API-K
306360	308200	我们还是把这个地址复制一下
308200	309560	来到OpenCloud这边
309560	311360	让它把这个skill安装一下
311360	312560	这样就安装完成
312560	314960	我们还是可以继续修改tooth.md
314960	317000	我们可以加入这么一段提示词
317000	319240	如果问题需要更多的相关知识
319240	321480	就使用Multi-Search Engine这个skill
321480	322480	作为备选方案
322480	323560	我们来测试一下
323560	325400	这里我说用Multi-Search Engine
325400	327760	搜索3月7到8号的城市活动
327760	330200	然后把每个搜索引擎的结果都告诉我
330200	331720	这样我们总体测试成功
331720	332440	效果不错
332440	336360	使用两个skills来完善了OpenCloud的搜索能力
336360	338280	OpenCloud的强大之处是
338280	340440	可以使用skills来拓展功能
340440	342640	skills是给OpenCloud的技能包
342640	344960	让AN能够快速掌握各种能力
344960	346560	比如在刚才的视频里面
346560	348480	我们就使用这两个搜索技能
348480	350280	重够了它的网络搜索能力
350280	352080	接下来我们再来介绍三种
352080	354560	寻找并且安装skills的方式
354560	356000	第一种方式最简单
356000	358080	就是开启它的内置skills
358080	360680	我们在OpenCloud的设置页面找到技能
360680	362520	找到这里的Building skills
362520	363920	在上期视频里面
363920	365280	我们介绍了GOG
365280	367400	一个管理谷歌全家统的skill
367400	369120	还有这个mcpporter
369120	371640	让OpenCloud可以对接mcp协议
371640	373080	这里我们再看一个例子
373080	374440	这里的Apple Reminder
374440	376360	它可以通过命令行的方式
376400	378520	接入苹果系统的提醒事项
378520	379880	如果有苹果手机的话
379880	380960	还能进行联动
380960	382160	这里我们来试一下
382160	384440	我们看到右侧有一个Install按钮
384440	385480	这里点击一下
385480	386760	这样就完成了安装
386760	389040	我们可以在对话里设置一个提醒
389040	390600	提醒我11点去买菜
390600	391320	这里允许
391320	393720	我们看到这个提醒就设置成功了
393720	396200	这个提醒也会同步到苹果手机上面
396200	397920	下一个重要的skills来源
397920	400680	就是这个官方的skills市场Claw Hub
400680	403360	这里面已经收录了16000多个skills
403360	405680	不过这里面的skills鱼龙混杂
405720	407640	有的可能还藏着恶意程序
407640	409160	所以这里我们尽量选择
409160	411400	这个star数量比较高的来进行安装
411400	413160	还有一点要提醒一下大家
413160	415320	我不建议使用这个fan的skills
415320	417280	它的功能就是可以在市面上
417280	419840	自动寻找合适的skills进行安装
419840	422200	但是我建议最好不要让它自动安装
422200	424880	每个skills我们最好先来人工审核一下
424880	427280	刚才我们介绍了Tevoli Web Search
427280	428560	我们再来看一个例子
428560	430440	这里我以这个summarize为例
430440	432520	这个skills可以自动的把网页
432520	433720	pdf 图像等
433720	435960	进行总结 输出一个文字摘要
435960	437760	我们还是把这个地址复制一下
437760	440240	来到opencloud通过对话让它安装
440240	442480	我让它安装这个skills
442480	444120	我们看到这个skills里面
444120	445920	还需要提供一个API key
445920	448240	这里我们提供一个Gemini的API key
448240	450240	我在谷歌的as studio上面
450240	452120	创建了一个Gemini的API密要
452120	452960	把它复制一下
452960	454520	还是粘贴给opencloud
454520	456560	我说Gemini的API key是它
456560	459080	调用summarize的时候你就使用这个key
459080	461000	然后把这个key写入你的环境辨量
461000	462880	opencloud成功的把环境辨量
462880	464760	放到了点音v文件里面
464760	466280	这里提示我们重启一下
466280	468080	这样我们重启一下opencloud
468080	470440	这里我找了一篇pdf格式的论文
470440	472040	我让opencloud来总结一下
472040	473920	它先读取了summarizeskills
473920	475440	学习到了怎么使用命令
475440	477400	来对pdf文章进行总结
477400	479760	接下来opencloud调用了这个总结命令
479760	481120	获取到了输出结果
481120	482400	成功完成了总结
482400	483480	效果非常的不错
483480	486040	接下来第三个查找skills的方式
486040	488200	就是github上面的一个开源项目
488200	490360	叫做alsumopencloudskills
490360	493600	这里面涵盖了5000多个opencloud的精选skills
493600	495680	涵盖了各行各业方方面面
495680	497760	而且都根据类型进行了分类
497760	499680	比如这里我们看一个finance
499680	501160	也就是金融相关的
501160	504040	我们可以在这里面查找感兴趣的skills
504040	505840	比如这个marketing ideas
505840	507520	就是跟市场营销相关的
507520	510040	我们可以复制一下skills的名字
510040	512320	还是来到cloud hub这边搜索一下
512320	513640	就能找到skill
513640	515440	安装方式还是跟刚才一样
515440	516840	把cloud hub这个地址
516840	518960	粘贴给opencloud让它进行安装
518960	520480	如果需要API-K的话
520480	522800	把API-K也同时告诉opencloud
522800	523920	方法都是一样的
523920	525360	这里我就不再坠出了
526360	529120	接下来我们把opencloud对接近聊天工具
529120	530800	本期视频我们来介绍两种
530800	531760	一个是飞书
531760	532880	还有一个是微信
532880	535760	现在opencloud官方支持飞书接入方式
535760	536960	比以前更简单了
536960	538600	我们来看这个官方文档
538600	540880	我们根据这个文档来一步步的操作
540880	543240	首先第一个先安装飞书插件
543240	544760	我们把这个命令复制一下
544760	546360	来到mac的命令行这里
546360	547560	粘贴过来执行
547560	549600	因为我们已经进行过初始化了
549600	552000	这里我们根据第二种方式来进行添加
552000	552960	输入这个命令
552960	554640	opencloud channels ID
554640	555800	这里选择飞书
555800	557720	这里要输入APP secret
557720	559960	我们先来到飞书的开放平台
559960	561920	点击创建企业自建应用
561920	563640	填写个名字点击创建
563640	565720	在凭证与基础信息这里
565720	567200	把secret复制一下
567200	568120	粘贴进来
568120	569680	接下来输入APP ID
569680	571600	这里的APP ID复制一下
571600	572360	粘贴进来
572360	575080	连接方式选择websocket常连接
575080	577240	域名选择国内版这个域名
577280	579760	groupchat表示他能否在群里说话
579760	581000	这里选择disable
581000	582520	不让他在群里乱说话
582520	583600	然后选到finish
583600	585080	接下来是配对规则
585080	586920	这里最简单我们就选择open
586920	587960	下一步选择no
587960	589000	这里选择yes
589000	589680	选择man
589680	592040	这样opencloud这边就配置完成了
592040	594240	我们回到飞书控制台继续配置
594240	595600	根据下面的提示
595600	598000	我们看到第四条配置应用权限
598000	599680	这里把整个权限复制一下
599680	600840	在权限管理
600840	601680	批量导入
601680	602440	粘贴进来
602440	603080	下一步
603080	603920	申请开通
603920	605960	官方文档这里还缺少一个权限
605960	607400	我们再点击开通权限
607400	608560	搜索这个权限
