start	end	text
0	2000	中文字幕，使用中文标点。
30000	31600	外交部現在利益太大了
31600	33600	外辦主任可以讓中聯部可以讓
33600	37600	外交部必須得讓我王毅安排幾年
37600	40000	得讓我把後邊的事情處理清楚
40000	41200	必須得讓自己人接班
41200	44800	所以整個的這個情況是這樣一個情況
44800	46400	還有王小洪知道了
46400	50000	就是他現在在政法系統公安系統的力量非常大
50000	54800	但是這兩個人他們主要的影響力還是在當地
54800	56800	還是在這個系統內沒有超出這個
56800	58400	所以我們是5加2
58400	62400	所以大概你看大家講了一下就知道現在的這些派系
62400	65400	然後我再說一說你看現在這個丁薛祥
65400	68400	丁薛祥其實在現在的身邊
68400	70400	在他當中辦主任的時候
70400	72400	他安排了很多人
72400	74400	當時的影響力是非常大的
74400	76400	你比如說你看當時現在的神祭長
76400	78400	神祭署長那個侯凱
78400	80400	這個崗位是非常重要的
80400	82400	因為神祭署它相當於一個
82400	84400	神祭署的一個職位
84400	86400	這個崗位是非常重要的
86400	88400	因為審計署才相當於
88400	90400	其實比一般的中紀委書記都要厲害
90400	92400	中紀委副書記都要厲害
92400	94400	因為很多東西你查是查不出來的
94400	96400	只有審計才能審計出來
96400	98400	我只要想找你這審計
98400	100400	我審計上都能找出來
100400	102400	我只要想幫你這個
102400	104400	審計上發的問題只要想幫你評
104400	106400	都能幫你擋過去
106400	108400	包括現在尹宏
108400	110400	江西的書記尹宏
110400	112400	還有浙江的省長
112400	114600	叫劉杰,但是他倆背後還有別的人
114600	117800	這兩個都跟丁薛祥都是徐門生
117800	120200	大家我回頭會講一期
120200	121800	徐匡迪這個老先生
121800	125200	大家都是跟丁薛祥一樣都是徐匡迪
125200	127600	在網上是朱鎔基脈絡
127600	129400	所以丁薛祥不是典型的江派
129400	133000	他是從朱鎔基派別歸的這個習派和江派
133000	135800	還包括四川的施孝麟這個大家都知道了
135800	138400	還有中國社會部的社工部的這個吳漢勝
138400	139800	這個都是他當年安排
139800	144200	但是现在呢 丁薛祥虽然从政治局委员变成了常委
144200	145520	看着地位上升了
145840	148000	那他实际的权力是下降了
148000	150200	所以是一个实际的权力下降了
150200	150840	为什么呢
150880	151880	因为他是中办主任
151880	154160	他是习近平的中办主任
154160	155760	习近平的权力是空前大的
155760	158080	所以他这个权力就像水一样
158280	159240	他杯子满了之后
159240	160280	他会进行溢出
160280	162920	这个茶壶里的水一样出来之后
162920	163600	你在他身边
163600	165160	你这个茶杯也能接到很多水
165200	167320	这就为什么当年令计划的权力很大
167520	169240	所以丁薛祥在中办主任的时候
169240	172240	他会有很多的机会来安插这些人
172240	174040	来帮助他的这些那个
174040	176200	但是他听着像常务副总理
176200	177880	常委了 权力更大了
177880	180240	但实际上他运作人事能力更小了
180240	182240	但是他可能处理国务院事务
182240	183800	这种审评权会大一点了
183800	185960	但是也未必会大多少
185960	187080	因为他面临的国务院
187080	188800	就是一个权力最小的国务院
188800	190440	最小的国务院总理
190440	192800	他可能也是权力最小的常务副总理
194080	194920	这个另外呢
194920	195840	像我刚才说了
195840	198040	像丁跟蔡跟陈啊
198040	201760	當時二十大之前是結盟的
201760	202840	他有中辦的權力
203360	207440	你蔡奇有北京市的地利的權力
207440	208640	北京市是首都所在
209120	211120	陳希是有組織部的權力
211120	212200	他三方是結盟的
212560	214720	我定學想可以幫你蔡奇安排
214720	217280	這個安排習主席去你那兒考察
217640	220800	你比如說大興機場這個竣工了
220800	224880	我在百忙之中讓習主席要必須的去一下
224880	229880	那習主席就看到了你蔡奇的這個業績和功勞了
229880	231380	他有這個權力和置換
231380	233680	我也可以拿這個權力
233680	236080	中辦的權力跟陳希來置換
236080	237780	所以你看丁薰想為什麼上位
237780	239480	他肯定能打敗陳敏爾
239480	241780	能夠從一個落後的狀態
241780	243480	最後變成唯一一個常委
243480	244880	就是因為他當時這個
244880	246480	當時中辦主任的權力
246480	247980	但現在他出來後
247980	249380	他身邊的這個權力
249380	251280	就沒有多少可以交換的了
254880	258880	包括你看他那個史光輝也是他的人吧
258880	264880	史光輝現在你看原來是最早的七零後省委副書記
264880	269880	到現在也是他現在已經就是七零後的省長已經好幾個了
269880	273880	但是但是史光輝還是遠敵他部
273880	276880	當然背景很複雜這其中其中一個原因
276880	280880	包括他還有比如說紀委中的陳希
280880	284640	李希因為中紀委他是中紀委書記權力非常大
284640	287480	而且最近搞了這種反腐風暴
287480	291440	僅次於甚至不亞於王岐山那個時候反腐風暴
291440	294440	但是你吃驚的看到王岐山那個時候安插了很多人
294440	296200	而且退休以後還有很大的影響力
296200	298480	李希反而沒有那麼大的影響力
298480	300600	李希推薦的人你看你數來數去
300600	302680	中紀委系統我就不說了
302680	305400	數來數去關軸就是自然資源部的
305400	313080	还有原来港澳办的中国住户办的曾彦雄也是
313080	315000	但曾彦雄提前下台了
315000	318200	最近你看纪委系统当然慢慢的他开始推了
318200	320680	甘肃纪委书记进国务也是他的人
320680	326120	但是李希为什么会提的风格非常关键
326120	330600	他就是一个这种不愿意帮人这个风格
330600	331800	跟赵乐际非常相似
331800	334040	而且他从王岐山那里弄明白了
334040	335000	你推荐的人越多
335000	336360	你的势力越大
336360	337400	你的拍戲越强
337400	339560	可能老习越会警惕你收拾你
339880	340760	那我搞这么多人
340760	341960	不如我自己安安全全
341960	342800	他这个想法
342960	345200	那就苦了这么多年跟他的人了
345240	347760	当然李希的表面工作很做得很好
347760	350720	就是接待你这个迎来送往
351120	352600	这些都会人情礼节
353080	353640	做得很好
353640	354480	他是这么一个人
354600	356280	你跟李希打交道的时候
356280	357800	他会让你如沐春风
357920	359640	他就跟李嘉诚那一套一样
359720	361080	从迎接你
361160	363160	到很多照顾你的细节
363160	364440	你跟他吃饭的时候
364440	366640	他会给你加菜
366640	369240	会跟你聊很多
369240	372840	就让你觉得你就是自己人
372840	374200	他就是你好大哥
374200	375840	然后你比如说
375840	377840	你如果有点小事麻烦
377840	379320	他不涉及到根本利益的
379320	381840	他会非常好的帮你安排好
381840	383840	如果比如说一个老同志要住院
383840	385120	他会请最好的大夫
385120	386560	当地最好的大夫给你
386560	388120	还会安排秘书送账送纳
388120	389320	他有时间以后来看
389320	391000	但是真正涉及到
391000	394360	比如說保人 提拔人 包括經濟利益的
394360	396440	李希就躲得遠遠的
396440	400880	這個因為他跟習近平的關係也存在致命缺陷的
400880	403200	因為他是後頭靠的習近平
403200	405400	這種關係他不一定經得起折騰
405400	410600	他不像何立峰那種跟習近平的關係經得起折騰
410600	412000	這個也是一個原因吧
412000	413600	我再批一個謠
413600	417280	李希不是李子柒的秘書 也不是馮紀卿秘書
417280	418720	我在李希那期講過了
418720	420960	以後誰再說李希是他們的秘書
420960	422400	你就把這個人給拉黑
422400	423840	就一點事實都不講
424840	427040	包括常委中的趙樂際也都知道了
427040	428760	趙樂際就是陳麗樺
428760	430640	趙樂際提拔的人就陳麗樺
430640	432240	安徽的副書記還政協主席了
434240	435000	現在不知道
435000	437160	我具體不知道陳麗樺現在的這個
