start	end	text
0	2600	喂 大家听得到吗 听得到 帮我打个一
7800	10000	大家听得到吗 听得到 帮我打个一
30000	47000	大家听得到吗 听得到 帮我打个一
57000	58000	声音怎么样
59000	62000	如果声音不好的话 听不清的话 打个二
65000	68000	因为我刚买了一个话筒啊 正在学习用
69000	72000	在大家的建议下 还是买了一个更专业的话筒
75000	78000	能不能联系我们 没问题 我可能没看到
78000	80000	我昨天下播我这边都12点了
81000	85000	早上我有点事 早上有点事情
85000	87000	所以我没看手机
89000	94000	对 我还账门买了个直播的手机 买了个iPhone 17
101000	105000	我一般说的时间都是换算成北京时间啊 大家记住
106000	109000	北京时间的话 这样的话 因为咱们在北京啊
109000	113000	香港这些朋友都比较多 他们方便来计算
113000	115000	因为大部分人还是华人嘛
115000	117000	用东京时间老感觉怪怪的
117000	120000	所以我一般都是说北京时间
120000	122000	所以大家不要来太早了
124000	126000	整个我好像迟到一样
128000	132000	没事 联系我的 如果大家联系我的都那个
132000	135000	我都会给大家回复的 然后会拉大家
135000	138000	如果过了几天还没有回复 有可能是
138000	141000	因为信息太多了 我有可能漏掉了
141000	144000	漏掉的话 这时候你重新联系我一下最好
144000	147000	重新联系我一下 然后我再拉你一下
148000	151000	因为很多信息我有可能会过滤一下
157000	158000	何止放弃了
159000	162000	我在日本就很少用过2000块钱以上的东西
162000	166000	这iPhone 17现在太贵了 大家得补贴我一下
168000	170000	对 先进来的同学点点一下红信
170000	173000	不点不点 无所谓 咱们会员这无所谓
173000	176000	不过可以打打赏
176000	179000	现在我就是茶馆说书的那个
179000	182000	说书的 这叫什么 老先生
182000	186000	大家给点范围 打打赏
188000	191000	就是下面 每个聊天的窗口
191000	196000	下面那个聊天窗口的右边有一个带钱的那个
196000	198000	带人民币行乱那个东西 你点开
198000	201000	那个里面就是打赏的那些项目
202000	205000	里面有这个超级贴纸 超级留言
206000	209000	还有什么东西 这些都是打赏的
210000	214000	就是在下面的这个聊天框
214000	217000	最下面那个聊天框的右手边第一个
219000	221000	今天好多人突然加入会员
221000	223000	就是为了听那个直播 大家还是聪明
224000	226000	我们等等人啊 还没到这个时间
227000	230000	先聊一会 还差三分钟
232000	234000	付费资讯你等一等 我现在没想好
234000	236000	我得创造价值才能发付费资讯
236000	238000	因为我接受你这个钱干嘛
238000	241000	你这个钱对我来说也没什么意义
243000	245000	你说是吧 然后没达到预期啊
245000	247000	或者什么的 或者规则没搞好的话
247000	249000	到时候你满意让我 我怎么说
249000	252000	所以现在排队说资讯的人太多了
252000	254000	所以我费用也不能收高
254000	257000	收高了 大部分可能大家也承担不起
257000	260000	然后我还得生活吧
260000	263000	所以我以后每周可能就很少的时间
