start	end	text
0	3400	听到吗?有声音吗?大家听到吗?我打个一
11700	12700	听到吗?
15500	16300	提前进来了
30000	32000	听到吗?
52000	53000	喂?
61000	63000	声音怎么样?
63000	64000	还可以吗?
91000	93000	对昨天直播小了吗?
96000	99000	声音有点小吗?有点小是吗?
120000	122000	声音有点小
150000	152000	声音有点小
180000	182000	声音有点小
205000	207000	拍照的朋友能听到吗?
210000	212000	拍照的朋友能听到吗?
214000	218000	我第一次用拍照,我两个平台同时听的,YouTube应该没问题了
218000	220000	我测试一下拍照
221000	224000	拍照的朋友能听到吗?听到吗?我打个一
226000	231000	因为大家知道,大陆的朋友是大陆的朋友
231000	233000	声音怎么样?拍照的朋友
234000	237000	因为大陆没有海外之路方式,上不了油管
237000	242000	所以我只能,我们很多朋友要求开拍照,就开了一下
242000	244000	OK了,OK了
245000	247000	还有一分钟
247000	252000	大家如果有个别人的声音断耐,薰薰或小的话
252000	257000	有些人没有的,如果有的话,就是我的问题
257000	258000	大家告诉我
258000	261000	如果只有你反映的话,那可能是你的问题
262000	264000	你就把声音有点小,声音有点小
264000	266560	人的声音断断续续或小的话
266560	267600	别的人没有的
267600	268840	如果是都有的话
268840	269840	可能就是我的问题
269840	271120	大家告诉我
271120	272640	如果只有你反映的话
272640	274360	那可能是你的问题
274360	277720	你就把就是这个
279000	280480	大家就找找自己的问题
280480	280920	好吧
280920	283720	如果是只有你的声音不好的话
283720	285920	你就退出去重新加入一下
285920	287720	或者刷新一下
287720	289080	或者刷新一下
291240	292160	断断续续的话
292160	293040	你就退出一下
293040	295320	再进行或者刷新一下
322160	338320	大家没有加入群的
338320	340000	我放了一个那个小助手的码
340000	342720	大家用telegram加一下
342720	343160	加一下它的码
350160	351200	我换一个角度试试
353160	355200	没有加小助手的加加小助手
377200	378720	好多patreon的没有加群
378720	383560	我们现在加起来有2000多会员了
383560	384640	所以人数很多
384640	386040	大家加这个小助手的
386040	388600	如果他两三天还没有联系
388600	389720	你就告诉我
403040	404760	黄坤明低了一些
404760	406400	黄坤明这个不是
406400	407720	公安部排在前面
407720	408640	按值的大小
408640	411600	这个不是按排名
411600	414080	港澳工作领导小子政法委
414080	416400	跟公安部是排在前面的
416400	418920	黄坤明只是因为是
418920	420520	他是属地
420520	421200	广东
421200	424960	所以我觉得是这样子的
424960	425880	刚才谁问的
425880	427560	那个楼阳生有没有别的儿子
427560	428600	我不知道
428600	430840	楼树是他的现在的儿子
430840	436280	楼树是我第一个在互联网上公开的
436280	439760	但是我没有跟楼树聊过
439760	440440	他有没有哥哥
440440	442320	但是按照道理
442320	444320	他们应该是受到计划生育了
444320	446480	楼树是85年86年的
446480	449360	那他肯定是计划生育了
449360	453000	公务员当时计划生育是比较严格的
459880	460680	没有加群的
460680	461720	大家加一下群
462880	463720	这小助手
463720	465080	马上开始大家
465080	466840	稍微等两个人马上就开始了
472280	473680	有空大家打打赏
475680	477040	这个会员直播点不点赞
477040	477520	无所谓
477520	479600	主要是有那个打个赏
481160	482760	有助于我咱那小金库
482760	483600	有点私放钱
484680	486800	要不然老生个万业的直播
486800	487640	家里会有意见
495560	498280	大家我把小牌子往前拿一下
498280	499360	大家看到了吗
499360	500120	你记一下
500120	501480	然后开始我就拿走了
501480	503480	然后等最后我再拿过来
503480	504360	好
504360	505080	记一下
505080	506040	就主要记一下
506040	508560	要么要派捷一下评这个马
508560	509520	要么是下面的
509520	511120	就是中日精精评论
511120	513520	s再加个s的那个手字母
513520	514520	中日精精评论
514520	516080	然后sport的那个手字母
517640	518560	这样看清了吧
520120	521040	你捷个评吧
522160	523640	大家请快捷个评拍拙的
525080	530080	对日的行动最高层已经冷却了
530080	532080	下面它这个都是惯性
532080	537080	因为老大也不好意思说你们别整了
537080	539080	刚让你们热乎起来
539080	541080	不好意思让你们赶紧撤吧
541080	544080	民间的还会再持续一段时间
544080	546080	但是最高层不会再加码了
546080	547080	谢谢艾克
547080	548080	谢谢艾克
548080	549080	谢谢艾克
549080	550080	谢谢艾克
550080	551080	谢谢艾克
551080	552080	谢谢艾克
552080	553080	谢谢艾克
553080	554080	谢谢艾克
555080	557080	回头我看看情况
557080	558080	如果达上比较激烈
558080	560080	我就把达上多了几个人
560080	562080	拉个小裙我们再聊一聊
563080	564080	但是看情况
564080	566080	如果达上的不激烈就算了
569080	570080	大家再赶紧截屏
570080	572080	在5秒钟我就把这个拿走了
573080	574080	赶紧截屏或者记一下
574080	575080	中日政经评论
577080	579080	手字母然后再加个S
580080	581080	还没开始呢
581080	582080	刚才说什么
582080	583080	刚才说罗亚生的儿子
583080	584080	应该就一个儿子
584080	585080	有没有老大
585080	586080	我确实不知道
586080	587080	我哪回
587080	588080	但是罗树现在已经
588080	589080	正听计干部了
589080	590080	原来都是小朋友
592080	593080	罗树人品挺好的
593080	594080	挺老实
594080	596080	现在大家知道那个周建
596080	597080	湖南省委
598080	600080	湖南省委书记周建
601080	602080	湖南省委书记的秘书
602080	603080	谢谢他们
603080	605080	湖南省委书记有个秘书
605080	606080	谢谢独丢
606080	607080	谢谢
607080	609080	湖南省委书记的秘书
609080	610080	叫周建
610080	611080	周建不是刚转岗吗
611080	613080	周建跟罗亚生的儿子
613080	615080	就是俩儿就是好朋友
616080	617080	罗树当时
617080	619080	周建是怎么起来的呢
619080	620080	就是当时罗亚生
620080	624080	在海南当组织部长的时候
624080	626080	就是把这个周建的
626080	627080	还有好几个人
627080	630080	然后给吸引到
630080	631080	他组织部长
631080	633080	有机会吸引人才
633080	634080	就把这个周建弄过去了
634080	636080	北大林是提了个付出籍
636080	638080	然后周建当时就是付出籍起来的
638080	639080	当然周建这个小孩
639080	641080	他脑子比较清楚
641080	643080	当过那个学生会的主席
643080	644080	还是副主席
644080	646080	然后就很快
646080	648080	后来那个沈晓明到了之后
648080	651080	就把他从美兰区的区长
651080	653080	提到了那个常委班的主任
653080	655080	后来就跟了沈晓明当大秘
655080	658080	然后跟了从海南
658080	660080	到了湖南
660080	662080	然后他84年的
662080	663080	你看
663080	667080	全国几乎是最早的一波政卿
667080	669080	这次走了
669080	670080	这次转岗了
670080	672080	这次基本上给他安排了
672080	674080	一个长沙的市委副书记
674080	676080	那沈晓明肯定两年以后要动
676080	678080	要么退休 要么上升
678080	679080	谢谢都对我
683080	684080	对
684080	686080	然后走之前
686080	688080	估计会给这个周建
688080	689080	因为他副书记
689080	691080	兼着约陆区的局委书记
691080	692080	谢谢徐李
692080	693080	徐李你太给地了
693080	695080	下周咱们记得通电话
695080	697080	周一咱们约个时间
697080	698080	然后到时候
698080	701080	然后你提前把你的问题发给我
701080	702080	然后到时候咱们约个时间
702080	703080	通一下电话
708080	709080	对
709080	711080	所以就是这么
711080	712080	周建就这么起来的
712080	714080	跟娄叔这么起来
714080	715080	所以娄阳生这个人
715080	718080	他是不是一个合格的省委书记呢
718080	719080	我不好讲
719080	722080	但是他是一个非常合格的组织部长
722080	725080	他在海南隐入了一批年轻人
725080	728080	到了山西大家看
728080	732080	山西他又提拔了一帮年轻人
732080	734080	你看山西的几个
734080	736080	全国最年轻的听迹干部
736080	738080	一个叫刘什么
738080	739080	还是那两个
739080	741080	我忘了那两个人
741080	742080	大家可以查一下
742080	743080	谢谢二公 谢谢
743080	744080	谢谢安迪
744080	745080	对
745080	746080	大家还是倡量
746080	748080	这个就让我在家里
748080	751080	你们肯定是故事的人
751080	752080	肯定理解我
752080	753080	深个漫夜的
753080	754080	你说在这里
754080	755080	我媳妇意见很大
755080	756080	你们要不支持我
756080	758080	我就那个了
758080	760080	谢谢学生卫国
760080	761080	谢谢
761080	762080	谢谢卫理
762080	763080	多少的不说
763080	766080	这个就是一个心意
766080	767080	然后刘亚生
767080	768080	你看到了河南之后
768080	770080	又搞了一个堆苗计划
770080	772080	山西他又搞了一个堆苗计划
772080	775080	所以到了河南又搞了这个计划
775080	777080	然后其实刘亚生
777080	778080	对大家讲的
778080	780080	因为他跟
780080	782080	他跟协议关系还比较铁
782080	784080	当时协议其实有意让他
784080	786080	二十大上接中读部长
786080	789080	或者是接国务院秘书长
789080	791080	这样的话他都能解决
791080	792080	不国籍
792080	794080	但是对刘军义
794080	795080	还有一个
795080	798080	两个人都是比较年轻的干部
798080	801080	但是就是因为
801080	804080	那个中读部长陈希
804080	806080	他肯定要选一个听话的
806080	807080	继承他自己意志
807080	809080	所以就推了李干纪
809080	812080	然后李强肯定想选一个自己人
812080	813080	听话的
813080	816080	然后直接选了吴正龙
816080	818080	所以像刘亚生
818080	821080	他不是说习对他不好
821080	825080	而是因为他被这帮人给坑了
825080	826080	所以大家知道
826080	828080	二十大人士这个刘亚生
828080	830080	就非常可惜
830080	832080	起码可以加上他在湖南这几个事情
832080	834080	确实处理得不怎么地
834080	836080	村镇银行的事件
836080	838080	加上大水还是什么的
838080	841080	再加上几个群体型事件
841080	844080	就造成整个中读部对他的评价
844080	847080	当时的评价不是很高
847080	849080	这样的话就错失了这样一个东西
849080	851080	所以在大家知道
851080	854080	光跟老大关系好还不行
854080	856080	你还得跟他身边的人好
856080	858080	特别剩下二十大
858080	860080	组织二十大人士安排的
860080	861080	像陈希这些人
861080	864080	跟他有交情
864080	866080	才能找到合适的位置
866080	867080	所以好了
867080	868080	今天咱们正式开始
868080	871080	今天咱们主题是谁
871080	873080	是权力最大的中组部长
873080	874080	就是介绍一下
874080	876080	历届的中组部长
876080	878080	然后大家进行个权力比较
878080	880080	主要针对的是
880080	882080	今天第一次有了拍拙的
882080	884080	朋友第一次
884080	886080	如果有照顾不到的
886080	888080	大家理解一下
888080	889080	好了
889080	890080	咱们正式开始了
890080	892080	正式进入正文
892080	893080	大家中组部大家知道
893080	897080	整个是中共最核心的部门之一
897080	900080	别人有个伴号
900080	903080	是全世界或者是全球最大的H2部门
903080	906080	H2就是人力资源部
906080	908080	所以他这个说法是有道理的
908080	909080	为什么呢
909080	911080	因为共产党中组部
911080	914080	它管着8000万的党员
914080	916080	其中有60万的党政干部
916080	917080	大家想一想
917080	919080	世界上有哪个跨国公司
919080	922080	有这么多的管过这么多的人
922080	923080	有几十万人
923080	925080	300万人称不得了
925080	926080	他管了8000多万人
926080	928080	而且像他们
928080	930080	就是他们管的这些人
930080	934080	关系到全中国的人士
934080	935080	因为大家知道
935080	937080	老毛讲过那个重要的话
937080	938080	战略定了之后
938080	940080	干部就是决定因素
940080	943080	一个战略能不能搞得好
943080	946080	关键是干部因素
946080	947080	所以中组部
947080	949080	选了一个好干部造福一方
949080	951080	选了一个坏干部
951080	953080	祸害一个地方很多年
953080	955080	中组部的这些下面
955080	957080	比如说整个中组部
957080	959080	你看中组部下面这些局
959080	960080	也是很厉害
960080	962080	中组部的一局
962080	964080	中组部的干部一局
964080	967080	号称天下第一局
967080	969080	当然有的说天下第一局
969080	971080	是财政部的预算处
971080	975080	预算部门
976080	977080	预算次
977080	978080	但是有的也说
978080	980080	这个中组部第一局是
980080	982080	他是管干部调配的
982080	984080	就干部的全局的调配
984080	985080	都归他们管
985080	986080	像干部调配处
986080	988080	这个处长也非常厉害
988080	990080	这个处长跟局长有权利
990080	992080	有的时候可以有资格
992080	994080	列席常委会
994080	996080	原来那个张健春
996080	997080	大家知道吧
997080	998080	我在我全网子
998080	999080	第一次告诉大家
999080	1001080	张健春这么个人
1001080	1002080	后来这些所有的博主
1002080	1004080	都按照我这个思路去讲
1004080	1006080	张健春就是彭丽媛的老乡
1006080	1007080	就是运车人
1007080	1009080	他最早就是干部处的处长
1009080	1012080	像10年还是左右
1012080	1013080	我认识
1013080	1014080	就是零几年的时候
1014080	1015080	认识张健春的时候
1015080	1016080	他只是个处长
1016080	1019080	那个时候他就非常牛
1019080	1021080	然后他很早
1021080	1023080	就是因为跟彭丽媛
1023080	1024080	妹夫的关系
1024080	1025080	包括这个关系
1025080	1027080	就跟彭搞的关系很好
1027080	1028080	彭也需要他
1028080	1029080	为什么呢
1029080	1030080	虽然他只是个处长
1030080	1033080	但是他掌握着全局的信息
1033080	1035080	他对整个争赌部的信息
1035080	1037080	是非常通的
1037080	1038080	谢谢彥平
1038080	1039080	谢谢
1039080	1041080	所以这个习近平
1041080	1042080	也需要这些人
1042080	1043080	在里面打探消息
1043080	1044080	就像孟祥锋一样
1044080	1046080	其实孟祥锋
1046080	1047080	现在中办主任
1047080	1048080	他在中纪委的时候
1048080	1051080	很早就跟习近平认识了
1051080	1054080	而且给他提供这方面的信息
1054080	1056080	因为孟祥锋是在
1056080	1058080	2007年的4月份左右
1058080	1061080	当时习已经离开了
1061080	1062080	离开了浙江了
1062080	1063080	才到杭州去挂职
1063080	1065080	很多人说是不是
1065080	1067080	赵洪柱在他去的
1067080	1068080	他确实认识赵洪柱
1068080	1070080	因为赵洪柱早年是中纪委的
1070080	1073080	研究室的副主任还是主任
1073080	1074080	是他老领导
1074080	1076080	但是大家知道挂职这个流程
1076080	1078080	从这个部门提出
1078080	1079080	到走流程
1079080	1081080	要走所在单位
1081080	1082080	谢谢
1082080	1083080	谢谢
1083080	1086080	杜干菜
1088080	1089080	谢谢杜干菜
1089080	1090080	你这个非常棒
1092080	1094080	这个流程开始之前
1094080	1096080	其实是习那边
1096080	1099080	是习那边就开始走这个流程了
1099080	1102080	所以孟祥锋很早就跟他搞在一块了
1102080	1104080	这是孟祥锋一个小兄弟
1104080	1106080	很铁的一个小兄弟告诉我的
1106080	1109080	所以你看这个
1109080	1110080	我话说回来
1110080	1112080	就是这个中途部这个一局
1112080	1113080	他权力多大
1113080	1114080	二局就是地方局
1114080	1118080	地方局是权力非常
1118080	1120080	也是非常大的这个局
1120080	1121080	为什么呢
1121080	1123080	因为他全国的这些副部局干部
1123080	1124080	晋升什么的
1124080	1125080	全是这个局管
1125080	1127080	有很多加三的机会
1127080	1129080	即使某个领导点名了
1129080	1130080	点名了
1130080	1132080	我随随随比较适合什么的
1132080	1134080	也得中途部的人去考察
1134080	1136080	他得去写报告
1136080	1137080	他得去问一下
1137080	1138080	上上下下对他的看法
1138080	1139080	如果他报告写得不好
1139080	1141080	你想上都上不了
1141080	1143080	所以大家中途部的人
1143080	1146080	大家你即使是个副处长
1146080	1147080	或者是一个副局长
1147080	1149080	你到副局长在中途部
1149080	1151080	出去的话就很厉害了
1151080	1153080	大家都爱跟中途部的人交朋友
1153080	1155080	中途部的人联系你就说明
