start	end	text
0	1460	大家测试一下
1980	4280	声音和还好的话打一下E
7140	9560	喂喂喂 大家能听到吗
9720	11440	能听到的话打个E
12820	13820	谢谢
30000	40500	还行是吧 那我静一下 已经过温进了
90000	111120	稍微等一下 开了会员 一直没加群
112960	114360	需要消化很久
115240	116240	是的啊
121000	123400	茶茶 钢加会员
124120	127200	拍出有点电 有点电音坚持一下吧
127960	130680	只要这平台的原因没办法
141480	144000	为何上海公正超零不退
144000	146000	那就是还没找到合适的人呗
146000	151400	会员礼物只能送你吧
151400	153800	没事你送给会员资格就行
153800	157360	送给咱们群友别的会员资格也是一样的
159880	162400	怎么看无情最新的露面
163280	164760	他是种流不率挨挣
166480	167880	路头率挨爆错了
173080	175760	刚变怎么进军加一下小助手
176920	178080	加一下小助手
182040	184320	小助手周末休息大家记住
184320	186920	他不是我 我可以为大家二十四小时服务
187600	188960	人家在上班下班的
207000	210840	对 现在台湾民进党都开始引用我的吧
212600	213560	那咋办呢
213560	215400	小粉红不信我还是把它撤了
216680	217600	放在那会员吧
217600	218960	还是咱们会员素质高
220280	221560	小粉红们太厉害了
221560	222880	人人都是局势专家
223600	224920	三天就能打下台湾
225600	227520	对我讲的这些东西他们都不相信
236640	239240	哎呀 想不到还被民进党看上了
240040	241560	民进党电话了
241560	243640	最近老引用我讲的那几条
249840	251720	因为我本身就跟台湾很熟悉
251720	254240	大家我写这个台湾不是乱写的
254240	256400	我可能YouTube这些
256400	258240	这些主播里可能我是
258240	259480	我本身就跟台湾很熟悉
259480	261920	大家我写这个台湾不是乱写的
261920	263880	我可能YouTube这些
263880	265240	这些主播里
265400	267320	可能我是跟台湾最熟悉的
268160	269960	很多年前我就经常保台湾
269960	273400	台湾现在民进党那几个新上台的我不熟悉
273400	275080	原来老的那些都吃过饭
276080	278680	起码饭桌上都都都喷过酒
280280	282440	所以我对台湾的情况还算了解
285360	287600	小助手就是
288840	291080	我找一下小助手的那个马
292080	295960	小助手的马在哪里呢
296960	298840	小助手就叫小鲁同学就行
299520	301240	小助手的马我找一下
301240	302560	放一下大家加一下
321080	323640	什么时候讲日本政坛
323640	325440	我现在不敢讲那些敏感的
326200	328760	大部分人他不了解日本
328760	331320	日本台湾是小粉红的两个境地
331840	333360	你不能讲实际情况
333880	335160	你讲实际情况吧
335160	336440	他们就
339760	340280	对
340280	341040	对
341040	341560	对
341560	342080	对
342080	342840	对
342840	343360	对
343360	344120	对
344120	344880	对
344880	345400	对
345400	345920	对
345920	346680	对
346680	347440	对
347440	347960	对
347960	348480	对
348480	349240	对
349240	349760	对
349760	350520	对
350520	351040	对
351240	352400	我把马放来了
352400	354480	没加群的大家可以加一下
354840	357440	小助手的这个Telegram
357440	358400	他周末休息
358760	359480	等就行了
359480	360040	然后
360720	364040	我们那个一对一现在在那个拍桌上已经上线了
364720	365720	就是大家要
366000	368000	一对一的可以到拍桌上
368600	370640	可以到拍桌上买那个商品
370640	371600	就是一对一的
371600	374280	但是现在排队的太多了
374280	375080	十几个了
375280	376640	我得消化一段时间
376640	378000	大家你要着急的话
378000	378480	就
378760	380280	就特别说明一下
381400	382120	不着急的话
382120	382960	你就去拍一下
382960	384120	一对一到时候用
384480	385400	我们这个
385400	387840	拍一对一的主要的流程就是
388240	391080	你拍完那个东西付完费之后
391080	393360	你跟小助手联系一下
393360	395400	加一下小助手的这个Telegram
395800	397640	然后把这个付费的
398080	399360	评证给他看一下
399360	401600	然后他会给你约个时间
401600	402480	约了时间之后
404080	405560	然后就会你把
405560	406760	然后就会加到
406760	410000	就会把我的发给你加完我的Telegram
410000	411760	你把问题提前发给我
412040	412560	这样的话
412560	413800	我提前准备一下
414680	416560	然后到时候到时间
416560	418400	我们就用Telegram直接打电话
418400	420240	这样大概有半小时左右的时间
421160	421800	手挺内
421800	422760	那不是我的手
422760	424000	那是我领导的手
425120	426080	我在大半夜的
426080	428840	就是领导还得帮我弄这些东西
430920	431760	意见很大
431760	432920	家里意见很大
433520	434440	该给我发送
434440	436440	该打赏的打打赏
437720	439720	王立军能活着出来吗
440720	441720	大家不知道
443040	444440	徐敏都被干掉了
444800	445560	这个不好说
445560	446000	认识
447280	448720	他王立军的下场不会好
448720	450040	这种人他背叛了
450800	452240	背叛了自己的这个
453800	454240	领导
454240	456040	所以王立军这个人品是比较差的
456040	457160	我是挺看不起他的
461200	462240	认识蔡英文吗
462240	462960	见是见果
462960	464080	但是你不能说认识
464080	464960	人家不认识我
471000	473160	长洲那个收尾书记被带走了
473680	474400	你说哪个
474400	475400	他干的挺好的
480640	481400	我们开始了
481400	482160	过了5分钟
482240	483240	大概周末
483440	484440	我们正式开始了
484880	486880	今天还是咱们的老项目
486880	488360	就是开始讲这个
488640	490280	大家大家晚一点问问题
490280	491040	晚一点问问题
491040	491560	我看不到
491560	492120	我也讲了
492120	492600	我讲完了
492600	493400	大家在问问题
495120	499480	今天咱们讲华各省省委书记的背景
499880	501360	主要讲华南区域的
501360	502000	华南
502880	504720	我看了一下就三个省
504720	507520	主要是广西海南广东
507520	507880	广东
507880	509240	因为是政治局委员
509400	509880	黄坤明
509880	511320	黄坤明到时候我会做视频
511320	512080	所以就两个省
512080	512880	两个省
513080	514200	应该还有时间
514200	515360	我就讲一下华中
515360	518320	就是河南和湖北
518480	519200	谢谢独丢
519720	520280	谢谢独丢
520280	521160	你太理解我了
523040	524840	再讲一下华中三个省
524840	525840	这样咱们今天
525840	527600	看看时间来得及就讲五个省
527840	528600	我讲完之后
528600	531480	大家统一的问问题
533840	534400	能点赞
534400	536280	就帮这个点不点赞
536280	536680	无所谓
537960	540360	然后就是能打赏的打赏
540920	541720	我这大半夜了
541720	542400	大家也了解
543400	544160	咱们开始讲
544680	545320	冯飞
546520	548880	海南的省委书记叫冯飞
549600	552920	冯飞是1962年12月的江西人
553360	555880	冯飞这个人是一个典型的学霸
555880	557240	或者是学术型官员
557800	560160	他是一直上学
560160	561160	上到了博士
561160	562680	最后甚至读到了博日后
564320	566960	他是1981年到1991年10年
566960	569680	都是在天津大学的自动化系读书
569680	570920	从本科读到博士
571480	574160	然后又到清华做了两年博日后
574160	576080	一口气把这个学上完了
576080	577440	但是博士不是个学历
577960	578840	做了两年博日后
578840	579960	研究到了93年
580520	583560	毕业之后就到国务院发展研究中心的
583920	585920	技术经济研究部这个工作
587240	589040	每一个一年又到加拿大
589040	590200	当了访问学者
590200	591080	当了有一年多
591920	595520	回来之后就当了技术研究部
595520	596760	技术经济研究部下边
596760	599280	第二研究室的副主任
599520	601680	主任基本上就是副处处长
602160	604680	到了97年是当了主任
605480	606440	就解决正处了
607040	609960	98年就变成产业研究部
609960	612720	产业经济研究部的副部长
612720	614760	就这样按部就班的解决了部长
615240	616320	到了2014年
616920	618360	他就调到了
618360	619560	被调到了工信部
619560	622320	担任这个产业政策司的司长
622680	623640	大家知道这个
624480	626120	产业研究部跟产业政策司
626120	627800	这两个是比较相关的
628760	631080	中国的产业经济还是比较成功的
631080	634360	他估计是因为研究的比较出色
634360	636000	所以去制定这个产业政策了
636480	637840	到了15年10月份
637840	639480	就是到了工信部的一年多
640080	642360	就担任了工信部的副部长
643080	644360	16年的8月份
644600	646800	就调到了浙江的副省长
647600	648640	17年的4月份
649560	650720	就是常务副省长
652480	655160	到了2000年就调到了海南当省长
655520	658360	2023年到了接了海南的书记
660360	663200	冯飞的主要提拔主要是
663520	665560	在国务院发展研究中心期间
666360	669960	他的提拔主要是王孟魁和陈清泰期间
670680	674240	就是他提这个副厅到政厅
674720	676160	都是王孟魁当主任
676160	678320	陈清泰当副主任
678600	681720	陈清泰当党组书记提拔着他
682560	683560	但是在这个期间
684320	688080	在他提到政庆之后
688760	690320	他就遇到了他的人生中
690320	691920	最重要的贵人就是刘鹤
691920	693760	刘鹤大家知道那个时候
693760	695560	刚调到国务院发展研究中心
696600	697880	是11到13年
698520	699720	当党组书记
700120	701880	当然是给他解决政部级了
702920	703680	在这个期间
703680	705240	刘鹤是对他比较欣赏的
705960	708480	到了习近平的第一个任期
708480	709120	大家知道
709760	712800	刘鹤其实是虽然只是那个
714760	716200	虽然只是个政部长
716200	718560	但刘鹤其实是习近平的主要智囊
719000	720520	所以也是在刘鹤的建议下
721320	722400	他到了工信部
722680	725640	然后当了这个工信部的副部长
725640	726080	当然了
726080	727040	就说刚才讲了
727320	730120	中国这些年的产业政策
730440	731400	是非常成功的
731400	732960	这个就是为什么中国
733720	735760	虽然有人抨击中国的专制
736960	737720	政治上专制
737720	740080	但是大家注意东亚的整个经济
740720	742000	不管是韩国
742320	742840	日本
743920	744680	日本还好一点
744680	745280	韩国
745280	745840	新加坡
745840	747440	台湾的经济高速发展
747840	752800	都是在专制时期完成的
752800	754240	但是他们都有一点
754240	755040	跟日本一样
755040	755760	都有一点什么
756200	758200	产业都有产业引导政策
758200	759600	都有一只看得见的手
759600	761000	去引导这些产业发展
761360	762120	目前来看
762720	764640	发展中国家要快速发展经济
764760	766000	必须得有这么一刀手
766320	767440	日本现在经济不行了
767440	768840	就是因为通产省不行了
769160	771120	中国虽然政治体制上
771120	772440	有点不尽如一人一
772440	774240	但是它的经济政策上
774920	775800	是非常成功的
776320	779400	所以中国这几年的新能源
779400	780000	也好
780520	781680	新能源汽车也好
782840	783760	电池也好
784480	786360	还有光抚太阳能板也好
786360	788360	这几个新兴的这些产业
788480	789440	其实是比较成功的
789440	790400	另外一个比较成功的
790400	791320	就是互联网行业
791520	792080	互联网行业
792080	793240	中国倒不是产业引导
793240	794320	主要是放松管制
795120	796080	就是我允许你干
796080	797360	你像日本自动驾驶
797360	798240	他就不让你干
798240	799680	法律都盯死你了
800640	803120	但是包括利益集团也反对你干
803120	804760	像滴滴这种模式
804760	806120	在日本永远是出不来的
806400	807880	到现在其实滴滴在日本
807880	808920	也没有完全普开
809280	810560	所以这两个政策造成了
810560	811600	中国现在经济的
811600	812720	一个大规模的发展
813040	814680	冯菲
814680	816120	他就是工信部
816120	818000	中国制造产业政策的
818000	820200	一个具体干活的
820200	821000	因为他是司长
821800	823120	所以刘鹤对他比较了解
823120	824360	所以刘鹤成为了
824360	825200	主要智囊之后
825320	827160	也推荐他到工信部
827160	829880	到副部长到浙江当副省长
829880	831800	但是冯菲有一点
831800	833520	其实不是很
833520	836040	他的运气没那么好的一点
836040	838560	就在于他到了浙江以后
839760	840480	谢谢陆璧
840480	841920	谢谢他们的讲究人
842640	844160	他碰到的是谁呢
844160	844960	他其实
844960	847200	因为他到浙江当副省长的时候
847720	849200	李强应该就是在他到
849200	849840	浙江的时候
849840	851040	前后脚就走了
