start	end	text
0	2060	you
30000	32060	you
60000	62060	you
90000	92060	you
750000	762540	you
762800	768940	Hello, hello, can you hear me? Can you hear me?
769200	773560	Hello, friends, hello, good evening, good evening,
773800	775600	can you hear me?
776600	781740	Can you hear me? Can you hear me?
782000	784300	How does the sound feel?
788400	794800	Is it okay? Let me hear the sound a little bit.
805600	807660	you
835600	837660	you
865600	867660	you
895600	897660	you
925600	938140	thank you, thank you,
938400	946860	thank you,
946860	950860	Let's have a chat for a few minutes.
954860	956860	I can't hear you.
958860	961860	Recently, I have received a lot of friends,
961860	963860	not just a few,
964860	966860	but a group of friends.
967860	968860	I found that
969860	972860	although the situation is different,
972860	974860	age and career are different,
974860	977860	but the big problem is that
978860	980860	life is the key turning point.
980860	984860	Because China has now turned from the economic development
984860	987860	to a slow speed.
987860	990860	Many people have changed their way of life,
990860	992860	including the form of consciousness.
992860	996860	They don't adapt to the new one,
996860	998860	so they face the problem of turning.
998860	1000860	After having a chat with them,
1000860	1002860	I gave them some suggestions.
1002860	1005860	I want to talk about life.
1005860	1007860	It may take a long time.
1007860	1009860	For decades,
1010860	1014860	life is the key.
1014860	1017860	The key is the few steps.
1017860	1019860	When I was young,
1019860	1021860	I went to university
1022860	1024860	and got married.
1024860	1025860	After that,
1025860	1027860	I worked for several times.
1027860	1029860	For example, when I was 30 or 40,
1029860	1030860	I had to change my job,
1030860	1032860	whether to go back to China or not.
1032860	1037860	I had to choose a major industry.
1037860	1039860	It affected a lot of people.
1039860	1040860	Now, I see that
1040860	1042860	many people don't have
1042860	1047860	a person to talk to.
1047860	1050860	If you want to make these decisions,
1050860	1052860	you must have
1054860	1057860	a clear view of the big situation.
1057860	1059860	The world you know
1059860	1061860	may be real,
1061860	1063860	or it may be different
1063860	1065860	from the real situation.
1067860	1069860	It is also life.
1069860	1071860	What is life?
1071860	1073860	It is also life.
1073860	1075860	Sometimes, you choose the right one.
1075860	1077860	Your choice is your life.
1077860	1079860	Your personality is your life.
1079860	1081860	When we came to China,
1081860	1083860	we had a lot of older brothers.
1083860	1085860	When we came to China,
1085860	1087860	we had a lot of older brothers.
1087860	1089860	They knew each other.
1089860	1091860	Especially, they are from the past.
1091860	1093860	They are from the past.
1093860	1095860	Let me tell you about them.
1095860	1097860	They are taller than you.
1097860	1099860	They are similar to you.
1099860	1101860	When we were young,
1101860	1103860	the things we experienced
1103860	1105860	were very simple.
1105860	1107860	I am older now.
1107860	1109860	I have a lot of experience.
1109860	1111860	In fact,
1111860	1113860	other than a friend,
1113860	1115860	I can't give them a better choice.
1115860	1117860	I can only give them
1117860	1119860	a better choice.
1119860	1121860	Other people
1121860	1123860	can give them
1123860	1125860	a better choice.
1125860	1127860	How can they see themselves?
1127860	1129860	Their situation
1129860	1131860	is sometimes confusing.
1131860	1133860	In the situation,
1133860	1135860	some people can't see it clearly.
1135860	1137860	They need to talk about it.
1137860	1139860	They need to talk about it clearly.
1139860	1141860	So,
1141860	1143860	on Twitter,
1143860	1145860	you can go
1145860	1147860	to the Patreon platform.
1147860	1149860	There is a product.
1149860	1151860	You can go there
1151860	1153860	and buy the product.
1153860	1155860	Then, you can ask for the time.
1155860	1157860	I will call you
1157860	1159860	and send the question to me in advance.
1159860	1161860	If you feel that
1161860	1163860	you are worried,
1163860	1165860	you don't need to talk so clearly.
1165860	1167860	Of course, I will keep it for you.
1167860	1169860	In this way,
1169860	1171860	you need to wait.
1171860	1173860	You need to wait.
1173860	1175860	I have been busy recently.
