start	end	text
0	1000	测试了一个人
1880	3640	喂喂 大家听得到吗
9840	13200	喂 大家听得到吗 听得到 帮我打个一
13460	14460	谢谢
30000	31920	声音还可以是吧 这个
60000	62000	声音还可以是吧 这个
90000	92000	声音还可以是吧 这个
120000	123000	谢谢飞骨 老朋友
150000	152000	声音还可以是吧 这个
168000	170000	没吃午饭呢
180000	182000	声音还可以是吧
182000	184000	声音还可以是吧 这个
202000	204000	拍手有点顾着
210000	225000	日本现在放假了,日本过这个元旦的期,所以日本现在相当于中国的春节,已经都放假了。
234000	239000	拍照能听到吗?拍照的朋友能听到吗?听到帮我打个E啊。
240000	258000	大家稍等一下等等人啊,等两分钟,我把拍照调一下。
259000	270000	党国监控外网的各路人会把社长当做听传师吗?他们估计也得看咱们才知道高层的消息。
270000	279000	负责监控外网这些人都是底层的牛嘛,他们对高层估计啥也不懂,估计也得看咱们的视频。
289000	297000	拍照也设置好了,大家拍照能听到吗?听到给我回复一下。
300000	309000	今天讲政法委,没加群的可以看看前面二维码,加一下二维码,加一下小助手让他拉一下。
310000	319000	丁薛祥大战陈敏尔正在剪辑呢。剪辑后演视频这个小伙子不太靠谱,现在放假又跑走了。
319000	339000	副省级有婚外男女关系举报后会降级处理吗?那不一定。
339000	344000	举办之后看看领导怎么处理意见的。
345000	349000	有的没事,你看那个谁,张高丽人家屁事也没有。
351000	360000	这不是啥事儿知道吧,有的很可能不是说有个什么事儿,你举报上去就行的。举报也是要讲技巧的,举报也是拼关系的。
361000	370000	你看那个叫什么南京博物院事件,之前举报过好几次,之前十名举报过好几次,就是没事儿没用啊。
370000	380000	那现在为什么这次有用了?这次一个就是那个谁啊?那个徐静什么院长他年纪大了,他的关系都退休了。
381000	389000	另外这次那个庞家的后人他比较轴啊,然后也利用起了网络啊,先起了舆论啊,是不是?
390000	392000	谢谢先征,谢谢先征卫,谢谢。
393000	397000	大哥有私生子吗?哪个大哥啊?
401000	411000	你以前也在政法委干过几年,那你看看大家讲怎么样,但是今天我讲的是中央政法委啊,不是地方政法委,中央政法委跟地方政法委差别还比较大啊。
412000	416000	你看中国政府的每一级机构啊,叫着一个名字都上下级完全不一样。
416000	421000	前几天有个会员问我们,谢谢员吧,谢谢老朋友。
421000	426000	前几个会员问我们这个宣传部说怎么样,我说宣传部从上到下不一样。
427000	431000	运往上权力也大,运往下的宣传部几乎就没什么用啊。
431000	437000	你想想县级宣传部有什么用,管个县级电视台半死不活的,出个事儿去产事儿去。
437000	446000	所以你别看都是一个那个,谢谢,别看都是一个部门,从上到下的工作内容完全不一样。
446000	454000	政法委也是,从中央政法委到省级政法委到这个县的政法委,整个的工作环境完全不一样。
456000	473000	这些会员也不用等特别多人,拍照的朋友进来,谢谢,原来那个拍照设置了有点问题。
473000	484000	谢谢威廉航那儿,谢谢。
484000	491000	银行有钱动吗,银行你这个不好这么打,你得说一下你的情况我才能打出来。
491000	503000	你就看上周吧,上周我有几个朋友都是问那个,咱们几个粉丝都是问那个,就是要不要回国啊,他们都在美国。
503000	509000	但是每个人的情况不一样,我一个人建议他不要回来留在美国,一个人建议他马上回来。
509000	517000	另外一个人建议他在美国待两年然后再回来,他三个人,然后其实学的专业都很相似。
517000	521000	然后但是他每个人的家庭情况不一样,他的年龄也不一样。
521000	532000	所以我就不能说,然后他们在各方面的情况都不一样,回来之后策略也不一样。
532000	543000	所以你问我银行有钱动吗,那我真不好说,那哪个银行,你在银行去什么部门是不是?
543000	550000	你跟银行领导关系怎么样,你家庭怎么样,你是什么血利,是不是?
550000	559000	对,我死掉回的挺好的,就是不一样,银行跟银行差别很大,但是总体上讲我可以告诉你一个一般性的规律。
559000	567000	现在主要就是这个四大行这些大银行,股份制银行还可以,但是地方的小银行会越来越艰难,
567000	574000	因为很多地方城商行他知道特别是农商行基本上已经破产了,事实上已经破产了,
574000	579000	你像马行睿当时在广东做的一个重要的事情就重整广东农商行,
579000	585000	很多落后地区的农性社像河南这些地方,包括像东北的,甚至全国可以说吧,
585000	593000	全国的农性社大家想想,他这些年这个烂账其实事实上已经破产了,只不过政府信用在撑着,
593000	599000	搞了很多这种小农性社,就是你看广东搞的发达地区的农性社,
599000	604000	农商行合并支援一家落后地区的,或者是小农性社合并起来,
604000	612000	像小的城商行合并起来,像辽宁搞的,小并大,这些是救了他,
612000	618000	但事实上很多银行都破产了,你看东北那几家银行,我给大家讲讲东北那几个大的银行,
619000	628000	大家算一算,盛京银行,沈阳,沈阳那个最大的,然后那个锦州银行,当时比较活跃的,
628000	635000	然后那个哈尔滨银行,这几个活跃的银行,大家想一想,其实都已经破产完了,
635000	643000	吉林九台农商行吧,还有吉林银行抓了好几任董事长了,
644000	650000	所以银行一定要往大里走,普发银行这几年也比较困难,普发但是那个谁啊,
650000	658000	你看那个董事长都被赶跑了,像这些银行会,你看包括名声银行这些银行也是,
658000	667000	就是原来市场机制比较活,然后对你在基层工作呢,对业绩考核也就是比较看重,
667000	675000	然后这个费用给你比较多,上升空间也比较多,但是呢,这些年现在就全部已经国有化了,
675000	681000	当然你大银行还是没问题的,反而现在这种金融环境有助于大银行,
681000	686000	但是银行之间各个部门又不一样,你在总行的各个部门之间,
686000	696000	跟在业部在职行又不一样,是不是,然后跟你年龄也那个不是很相关,也很相关,
696000	703000	跟你年龄,年龄上你要年轻,你可以在基层偶啊,长的话就年龄大一点的话,
703000	712000	你想要年龄大一点,你再银行退休吧,是不是,好吧,咱们差不多开始吧,
715000	722000	拍摄的还听不到吗,听不到的话就退出一下,退出一下再进一下,拍摄的,
726000	735000	画面无所谓,没画面你们听就行了,因为这个平台有点不稳定这个拍摄,
735000	741000	回头你们在那个,我现在已经进了很大的努力,让两边同时直播了,
741000	750000	大家先看一下,凑合听一下,然后等以后可以看直播,你要想,画面没有什么要看的啊,
751000	758000	没加了没加的话,加一下没加咱们群的话,加一下咱们群那个那个telegram,加小猪手,
758000	761000	不过他下周这个不上班可能得下下周了,
769000	777000	好了咱们就开始吧,对刷新一下,刷新一下,然后或者是退出再重进一下,
780000	790000	好,好的顶问您今天开始吧,
790000	818000	好,咱们今天开始了啊,今天讲的是主要讲解一下中央政法委啊,起了个名字叫谁是政法网啊
820000	839000	咱们还讲文革以后的政法委啊,文革以后呢其实就是这个七八年开始啊
839000	845000	成立了一个中央政法小组啊,这个政法小组啊,他权力是比较小的
845000	851000	主要定位啊,当时是协助中央处理这种公检法还有民政部的政策问题啊
851000	859000	你没有听错还有个民政部啊,主要是研究一些重大的政策和方针问题就涉及到政法的啊
859000	869000	所以他的两个定位呢,一个就是协助中央领导啊,对领导就是协助他处理于公检法相关的这个事情
869000	877000	另外他是中央的智库和助手,所以这个里面大家就看他整个的这个定位是没有多少实权的啊
877000	885000	但是呢他这个呢其实呢就很重要的历史定位就在于就是对于中共当时的情况来讲呢
885000	890000	他往前走了一大步就是什么呢,就是他结束了这种党委审批案件啊
890000	896000	就是因为文革期间大家知道在七八年以前中国基本上就是党委来定这个
896000	900000	没有什么所谓的法治不法治,公检法基本上也全荒废了
900000	905000	所以这个时候有公检法其实呢是对中国来有政法委啊
905000	908000	其实对当时的中共中共来说呢是往前走了一大步
908000	911000	就结束了这种党委直接来审批案件
911000	917000	然后消除了这个往法治走的这个路啊,一个最大的制度障碍
917000	923000	当时的第一任的政法,这个政法这个小组的这个负责人呢叫吉登葵
923000	927000	大家知道他的背景啊,主要还是老派的一些
927000	930000	到了80年呢,就是正式成立了这个政法委
930000	933000	第一任政法书记呢就是彭真
933000	936000	彭真大家知道他是刘少奇的主要干将
936000	941000	五六年以前呢彭真其实相当于中央书记处的二把手
941000	944000	相当于邓小平他是中央书记处的书记嘛
944000	946000	彭真相当于常务副书记
946000	950000	除了他分管这些日常的这些之外呢
950000	954000	他还分管这个北京市的日常工作,包括宣传工作也在分管
954000	959000	所以当时他,你看一下我最近买了一本书叫文革前的这个彭真
959000	961000	大家可以看一下
961000	966000	这本书你看文革前的这个权力斗争格局看的非常清楚
966000	971000	反正总而言之彭真就是文革前的邓小平的主要助手
971000	974000	两个人合作的总体还算比较愉快
975000	981000	彭真在这个革命过程中来形成了自己的一个班底
981000	984000	所以文革以后彭真回到北京之后
984000	987000	所以有一大帮人大概几十号人
987000	990000	不约儿童的到北京去迎接彭真
990000	992000	大家去看一下那个谁的回忆
992000	996000	就非常感人的,就说明彭真他自己在岛内有自己的微信
996000	998000	有自己的一帮人
998000	1000000	所以彭真恢复工作以后呢
1000000	1003000	他其实跟邓小平走的没有那么近
1004000	1008000	当时你看回一路有一个著名的这个事件
1008000	1014000	当时华国锋出发欧洲还出发那里之后
1014000	1016000	出国了一两个月
1016000	1018000	利用这个华国锋在国外的时间
1018000	1021000	邓小平就去联络了很多军队的人
1021000	1024000	华国锋刚回国的时候彭真就去找他
1024000	1026000	因为他俩都应该都是山西老乡
1026000	1031000	所以彭真当时因为他当时已经有点边缘化
1031000	1032000	所以他对这个也不满
1032000	1034000	他就提醒这个华国锋
1034000	1035000	说你在国外的时候
1035000	1038000	我们国内有一些干部进行串联了
1038000	1040000	但是华国锋就这个事情
1040000	1042000	他有点这个没有那么敏感
1042000	1044000	他对权力斗争这个事情
1044000	1047000	华国锋本身就是他不是天生的政治动物
1047000	1049000	所以他就没听懂这句话
1049000	1051000	他不知道这个邓小平在他出国的时候
1051000	1054000	就进行了这个串联
1055000	1057000	所以彭真在
1057000	1060000	虽然也是就是80年代的中共八老之一
1060000	1063000	但是他在八老中共是相当于丹烈的
1063000	1065000	所以就是只让他管政法工作
1065000	1068000	一开始就是叶建英当全国人大的委员长的时候
1068000	1072000	彭真就是当那个法治委员会的那个主任
1072000	1073000	其实相当于全国人大
1073000	1077000	下面一个当然是最重要的一个委员会的这个主任
1077000	1080000	他主管了这个80年的那个82
1080000	1083000	还是80年那个新宪法的修订工作
1083000	1085000	所以彭真
1085000	1090000	邓小平对彭真一直是这样限制使用的这个办法
1090000	1093000	最近去世的这个彭佩云
1093000	1095000	就是搞计划生育那个彭佩云
1095000	1098000	彭佩云是全国人大副委员长大家知道
1098000	1100000	彭佩云的老公叫王汉弥嘛
1100000	1102000	也是全国人大副委员长
1102000	1104000	两个全国人大副委员长
1104000	1107000	这个老王头就是彭佩云的老公
1107000	1110000	他就是这个彭真的秘书
1110000	1114000	从50年代就开始跟跟着彭真干
1114000	1115000	但是呢
1115000	1117000	王汉弥后期已经投靠了邓小平
1117000	1119000	因为他乔牌大得很好
1119000	1121000	这个小伙子就是特别聪明
1121000	1123000	因为是北大还是清华毕业的
1123000	1125000	西南脸大的
1125000	1126000	所以他打乔牌特别好
1126000	1128000	所以彭佩云那个时候上学的时候说
