start	end	text
0	1000	喂喂
2000	5000	YouTube听得到吗?大家听得到吗?
6000	8000	听得到打个E啊
60000	62000	点赞 订阅 转发 打赏
150000	160000	点赞 订阅 转发 打赏
160000	170000	点赞 订阅 转发 打赏
170000	174000	大家稍等一下 我要设置一下拍摄
175000	176000	稍等一下
181000	184000	没开始呢 所以没事
185000	187000	现在听得到吗?
210000	220000	你家群前面有个二维码
222000	227000	那个二维码就是小猪手的Telegram的那个账号
227000	229000	大家加它让它加一下可以
231000	234000	另外那个就是涉及到系统的这些
234000	236000	在平台面前啊
236000	238000	我跟大家是一样的
239000	243000	就是都只是一个用户涉及到这个平台的这些问题
243000	245000	大家直接去找平台
246000	250000	或者是自己在网上研究一下
252000	254000	像拍炒个YouTube平台
254000	256000	其实我也不怎么会用
269000	272000	对 国外这些转件
272000	277000	像拍炒 大家就确实不如国内的
277000	280000	国内这个用叫什么竞争激烈
280000	282000	用户又多
282000	286000	所以这个很多功能
286000	287000	竞争很激烈的话
287000	288000	很多功能搞得很好
288000	290000	用户体验搞得很好
290000	294000	像YouTube它其实测重于是一个内容的
295000	298000	像YouTube它其实测重于是一个内容展示平台
298000	300000	它的交互作用很差的
302000	304000	你看它涉及到这个交互的
304000	305000	你看都搞得很差
306000	308000	你就找到一个作者想给他发个东西就很难发的
317000	319000	拍炒的朋友能听到吗
321000	323000	拍炒的频道能听到吗
325000	327000	听到打个一拍炒的朋友
329000	330000	还可以是吧
336000	340000	拍炒主要是能解决国内的支付问题
342000	343000	不然也不想用拍炒
343000	345000	拍炒发长文章有优点
345000	348000	但是YouTube发长文章就不行
354000	357000	大家今天看了咱们稍聊两句
357000	358000	稍微等了等等人
359000	364000	大家今天看了唐人剑的报告了吧
364000	366000	谢谢徐李
366000	368000	老朋友徐李
368000	371000	唐人剑今天放了一个反复的视频
371000	373000	大家有空可以到网上搜一下
373000	376000	讲了很多唐人剑的小故事
376000	377000	非常真实
377000	381000	里边那个周点是我的老朋友
381000	383000	我认识周点的时候
383000	385000	还是个小科长
385000	386000	他是管金融的
386000	388000	现在周点人老的这两年
388000	389000	老的真厉害
391000	393000	所以你要抓一个人在中纪委
393000	394000	真是不容易
394000	396000	抓了之后不是像大家想的
396000	399000	很快就能找到一些问题
399000	401000	有的时候
402000	403000	有的时候这个
404000	406000	斗志都有
407000	408000	中纪委这几年
408000	410000	估计他们被折腾得够像
414000	417000	所以你看一下唐人剑
417000	419000	他基本上给一个什么
419000	421000	触及干部提及干部差不多
421000	423000	谢谢菲虎
424000	425000	他整个的
426000	427000	整个的
428000	429000	输送方式
429000	431000	主要就是那个李勇的商人
431000	434000	就是咱们前几回直播时候
434000	435000	讲的那个
436000	437000	就是把那个
438000	439000	甲骨董
440000	442000	放在那个李勇
442000	444000	然后李勇把这个东西给他卖掉
444000	446000	那些商人反正也知道
446000	448000	这个是假的也去买吧
448000	450000	李勇害你看这个他很多手段
450000	453000	这个唐人剑为什么被抓呀
453000	454000	就是因为他
454000	456000	长期在农业部的政策
456000	457000	研究部门工作
457000	460000	所以他其实很多年来一直没有
461000	463000	没有什么实际权利
463000	466000	所以呢他跟社会的这个交往
466000	467000	没有那么密切
467000	469000	那么他一旦掌权之后呢
469000	472000	其他身边的这些利益群体
472000	473000	都是临时跟上来的
474000	475000	然后他对这些东西
475000	477000	你怎么来进行利益输送呢
477000	479000	这玩意是不传之密
479000	480000	你也没法问别人
480000	482000	所以他搞的这些东西都是非常幼稚的
483000	484000	谢谢都对了
487000	490000	对他所以大家不要把他们想的水平那么高
490000	492000	你跟打交道时间长了就都知道
492000	493000	这当官的就这么回事
496000	498000	所以你看他为什么被抓
498000	499000	你看
500000	502000	第一个就是大家知道
502000	504000	唐人健的发展历程吧
504000	505000	唐人健一开始在农业部的
505000	507000	政策研究部门工作
507000	509000	后来被温家宝
509000	510000	温家宝大家知道
510000	513000	在当总理之前一直是分贯农业的
514000	517000	从温家宝进了书记书书记之后
517000	520000	本来老家是想让他当国务院副总理的
520000	524000	结果呢就是被李鹏狙击了一下
524000	525000	然后李鹏把那个江春云
525000	527000	从山东省委书记掉了上来
528000	531000	所以温家宝就变成书记书记主管农业
533000	534000	所以呢
536000	539000	就是温家宝当时对唐人健是认可的
539000	541000	每年的这一号文件都是唐人健来
542000	543000	就是参与的吧
543000	546000	参与来进行写作的
552000	553000	有回声吗
555000	557000	因为我是两个平台一起播
559000	560000	两个平台一起播
560000	562000	估计别人没法弄
562000	564000	所以有点大家凑合听一听
577000	579000	下回演因为现在临时调整
579000	580000	估计来不及了
580000	581000	大家凑合听一听
589000	593000	所以那个温家宝就把唐人健
593000	597000	从农业部掉到了中央农办
598000	599000	所以他早期
599000	600000	零六年的时候
600000	602000	温家宝又把它变成了副主任
602000	604000	所以早期唐人健主要是文家宝
605000	606000	后期呢
606000	607000	因为在中央农办
607000	610000	后来跟那个中央财经办公室是两个
611000	613000	两套牌子一般人把就一起运作了吧
614000	615000	所以那个唐人健呢
615000	617000	就变成了这个
619000	621000	就是跟中央裁办一起工作
621000	623000	所以就认识了那个刘鹤
623000	626000	所以刘鹤后期是他主要的大腿
627000	630000	所以他从中央财经领导小组
630000	631000	又调到了广西吧
631000	633000	现在担任长副主席
633000	635000	后来从广西又调回去了
635000	638000	调回去短暂的在中央财经领导小组
638000	640000	中央农办当了主任好像
640000	643000	然后调到了甘肃当省长
644000	647000	然后从甘肃回到农业部当部长
649000	651000	所以他整个的这个情况
651000	653000	你看就是他
654000	658000	除了在到广西和广西甘肃农业部之前
658000	660000	他长期其实没什么权力的
660000	662000	中央财经领导小组其实也没什么权力
663000	668000	因为那个就是在刘鹤实际掌权之前
668000	670000	中央裁办呢
670000	672000	好处呢就是他离的领导很近
672000	673000	出大秘书
673000	675000	你比如说那个
675000	677000	化剑米的那个大秘叫什么
677000	678000	姓蒲吧
679000	681000	叫蒲什么来着
681000	682000	是中央农办出来
682000	684000	但实际中央才办出来
684000	685000	但实际上他们
686000	687000	其实没有什么实际权力
687000	689000	因为他管的都是政策
689000	690000	那些人都非常单纯
691000	692000	谢谢
693000	694000	国强
695000	696000	所以这非常单纯
696000	698000	大家我认识刘鹤的
698000	700000	认识唐人剑的秘书
700000	702000	就是因为我那个时候
702000	703000	经常跟王志军
703000	706000	当时那个忘了几局的副局长
706000	707000	我跟王志军当时聚
707000	708000	王志军特别淳朴
709000	711000	每次我俩都在那个月台
711000	712000	那边几个小饭店
712000	713000	我俩吃饭
713000	715000	后来我俩吃的太无聊了
715000	718000	就是就是他叫了他那个
718000	720000	唐人剑的秘书叫小和
720000	722000	北大一个博士来参加
723000	725000	后来他每次就叫一些不同人
725000	727000	所以我跟中中财办那帮人都很熟
727000	730000	现在那个韩什么韩主任就是
730000	732000	现在那个常务副主任老韩
732000	735000	老韩也后来也参加一些大的聚会
735000	736000	就他内部一些聚会
736000	737000	但老韩从来不说话
737000	739000	老韩吃饭的时候就几乎不说话
742000	744000	小和唐人剑出事之后
744000	746000	小和之前就是去广西了
746000	748000	然后就现在几乎现在广西了
749000	751000	谢谢 谢谢国强人
752000	753000	所以就是这些人
753000	756000	大家不要觉得他们有多么高大上
756000	758000	多么的这个
760000	762000	世界都是个草材班子
765000	767000	另外像你看这个唐人剑
767000	768000	为什么唐人剑这些事
768000	770000	其实大家都不是事你知道吧
770000	772000	你说吃个饭叫谁吃个饭
772000	774000	哪个部长不搞
774000	776000	你没有一把小兄弟谁跟你弄
777000	779000	所以吃饭这些搞个什么俱乐部
779000	781000	那玩都不是事
781000	784000	真正的就是他真正被
784000	786000	我觉得唐人剑他被那个
786000	788000	第一个他肯定是
788000	789000	他搞输送这些东西
789000	790000	被竞争对手抓住了
790000	792000	然后就举报了
792000	794000	就是你搞得很低级
794000	795000	就容易被别人抓住
795000	797000	实际证据举报给中纪委
798000	799000	第二点就是
799000	801000	因为他跟习之间是间接的关系
801000	803000	到习那没刹住车
803000	804000	在中纪委这儿
804000	806000	当然也没有任何人给他刹车
808000	809000	当然刘鹤不会
809000	811000	因为这个事就跟他说的
811000	813000	所以就是习剑了就签字了
813000	814000	签字了就出这个东西
814000	816000	你假设何立峰的事
816000	817000	或者别的事
817000	818000	习那就刹住车了
820000	821000	所以大家就想象一下
821000	822000	就知道了
822000	825000	只能说他能到这个位置
825000	828000	就是一个偶然的
829000	830000	偶然的现象
831000	832000	不是亲生的
833000	834000	搞得这么高调
835000	837000	就是容易让习反感
839000	840000	好 今天咱们就是开始了
840000	841000	今天咱们讲个生生长
841000	842000	讲华北的
843000	845000	快速的看看能讲几个
845000	846000	讲三四个
848000	849000	华北呢
850000	853000	时候书记那个咱们还差几个
853000	855000	还差三个书记左右就讲完了
855000	856000	今天咱们正式开始讲
856000	857000	个生的生长
857000	859000	咱们还是从华北开始讲吧
860000	861000	咱们快速讲
861000	862000	讲完之后
862000	863000	因为比较晚了
863000	864000	对东班尼的讲
864000	865000	我快速讲
866000	867000	讲几个之后完了之后
867000	868000	咱们终点来回答问题吧
871000	872000	咱们终点来回答问题吧
872000	873000	讲几个之后完了之后
873000	874000	咱们终点来回答问题吧
878000	879000	首先讲一下
879000	881000	河北的生长叫王正普
881000	882000	这个名字
882000	883000	可能大家比较陌生一点
884000	886000	王正普是1963年8月出生的
886000	887000	山东烟的人
888000	890000	北京农大毕业的
890000	892000	83年上到北京农大
892000	893000	87年毕业
893000	894000	他一毕业
894000	896000	就在农业部农村的
896000	898000	一个什么合作总站工作
898000	900000	然后又调到合作经济司
900000	901000	一直进展不快
901000	902000	副处长 处长
903000	904000	到了2000年
904000	905000	他还是财务司的处长
906000	907000	杜清凛到了
907000	909000	农业部当部长的时候
909000	911000	就是2003年
