start	end	text
0	24280	喂 喂 大家听得到吗
24280	27920	喂 喂 大家听得到吗
28920	29920	听得到吗
29920	31920	听得到帮我打个仪啊
35920	37920	听得到帮我打个仪
42920	44920	声音感觉怎么样呢
57920	59920	晚上好
87920	89920	拍错的朋友能听到吗
90920	92920	拍错了这个系统有问题
93920	95920	拍错了能听到吗
96920	98920	拍错了系统有问题
98920	101920	你之前开的聊天室他都不让进了
101920	102920	只能新开一个
107920	109920	前面有这个二维码
109920	111920	就是没加入咱们会员群的
111920	114920	用电报加一下咱们这个小助理的号码
114920	116920	让他给拉进群里
117920	118920	也比较麻烦
119920	122920	他每天只能拉十几个二十个会员
122920	124920	所以他排很长时间
124920	126920	因为你拉的人一多
126920	128920	他就把你识别成诈骗号
128920	130920	让你一天只能拉十几个
139920	141920	刘强东前妻
141920	143920	公孝京的家族什么来头
143920	144920	没有什么大来头吧
144920	146920	是个什么出局干部之类的
147920	149920	刘强东早年没有任何社会关系
150920	151920	他是草根旗家的
154920	156920	刘强东早年不是在中关村站柜台的吗
158920	160920	华为有什么红色背景
160920	161920	华为是党的企业
161920	162920	华为是党产
167920	169920	咱们聊聊天身边等等人
170920	172920	可否简单说说夜清纯
172920	174920	你是不是因为那个谁啊
174920	175920	协安那个书记
177920	178920	协安这个书记
178920	179920	这个豪书记
180920	183920	他早年就是一直在河南
184920	185920	在河南发展
185920	188920	他主要是在谢腐湛的时期被提拔的
189920	191920	谢腐湛还知道是温家宝的
192920	194920	就政策类的秘书
194920	196920	对温家宝的亲信
196920	198920	所以你看这个豪
198920	199920	豪什么结啊
199920	200920	协安那个书记
200920	205920	他早年就是谢腐湛给提拔的
206920	209920	后来那个叶清纯当年也是在
210920	212920	在河南当纪委书记
212920	215920	后来叶清纯就到中央巡视组当组长了
215920	218920	就把这个当时的这个豪书记
218920	219920	刚当市长吧
219920	223920	带市长而市长就把他调到巡视组当副组长了
223920	227920	所以你看这个老豪他的简历非常奇怪
228920	232920	是在当了几个月市长之后
232920	234920	被调到巡视组
238920	240920	当巡视组副组长
240920	243920	大家后来他调到陕西之后
243920	245920	他跟陕西又主要跟刘国中啊
245920	247920	包括通过刘国中
247920	249920	谢谢
249920	251920	谢谢猪
253920	254920	我先说完啊
255920	258920	他在陕西又跟刘国中建立这种信任
258920	261920	通过刘国中又给咱们这个
264920	266920	远清王建立了信任关系
267920	268920	所以我之前说过多次
268920	270920	西安的书记一定要
273920	276920	西安的书记一定要这个远清王认可
276920	278920	所以大家你看看最后的这个
285920	287920	西安看看咒的问题啊
287920	290920	上海人男27岁澳洲读书
290920	292920	最近准备回国考公务员
292920	295920	我是在纠结考国家公务员
295920	297920	包括海关税务类的
297920	300920	管理港湾还是上海公务员的各个区的
300920	302920	我觉得你这两个不矛盾吧
302920	304920	你这两个有什么矛盾
304920	305920	你可以同时考啊
305920	307920	上了拿到alpha再比较呀
307920	309920	我觉得你这两个不矛盾吧
309920	311920	你这两个有什么矛盾
311920	312920	你可以同时考啊
312920	314920	上了拿到alpha再比较呀
314920	316920	如果你都考上了
316920	317920	然后你再来问我
317920	318920	我帮你比较一下
318920	319920	好不好
319920	321920	如果你现在属于
321920	322920	这两个考试不矛盾
322920	323920	又不是说第一天考试
323920	325920	或者说你报了国考
325920	327920	地方考试你就考不了了
327920	329920	你这两个属于可以兼容的呀
329920	330920	你先两个都报
330920	331920	两个都考
331920	332920	考下来哪个
332920	333920	你如果都考上了
333920	335920	到时候咱们我跟你讲
335920	336920	谢谢徐李啊
336920	337920	是不是
337920	339920	你不要假设你都考下来了
339920	341920	你现在就是两个都去考一下
341920	343920	事实上是很多人的这个
344920	345920	策略
350920	352920	赖昌星当年的后台
352920	353920	到常委了嘛
353920	355920	赖昌星主要
355920	358920	他主要赖昌星本人啊
358920	359920	当然像那个谁
359920	362920	刘长英不是刘华清的女儿吗
362920	364920	但是事实上赖昌星
364920	365920	比较擅长的是
365920	367920	常委的秘书跟司机
367920	369920	所以他为什么老吹嘘自己
369920	371920	老是去那个
371920	372920	去中南海啊
372920	374920	就是用中南海那些
374920	375920	常委的司机
375920	377920	我原来也经常用他们的司机进去
378920	379920	原来
379920	380920	我有一些朋友
380920	383920	经常带他们去中南海里逛一逛
383920	385920	就是用常委的司机最直接
385920	388920	赖昌星也是这个套路
388920	391920	他直接跟那些领导们接触不多
391920	393920	当时常委的秘书们
393920	394920	权力都很大
400920	402920	小助手还没通过
402920	403920	那我吹一下他
403920	404920	我下周吹一下他
405920	407920	他每天事也特别多
407920	408920	我也不敢得罪他
410920	411920	王熙琴
411920	412920	清华的这个王熙琴
412920	413920	我跟大家讲一下
414920	415920	清华这个校长啊
415920	416920	其实大家就知道
