start	end	text
0	6000	油管的朋友声音怎么样呢?听到过,打个一啊。
17000	19000	油管声音清楚吗?
30000	40000	声音有点小是吧?那对放大一点,太远了一点。
47000	50000	现在可以吗油管?油管声音现在可以吗?
61000	64000	还是太小吗?
71000	73000	你平时声音小啊?
77000	79000	台上有声音吗?
79000	99000	现在好了吗油管?再大两格是吧?声音很轻。
109000	111000	台上有声音吗?
123000	125000	没声音吗?
126000	131000	一会儿现在好了吗?
136000	138000	稍微有点小啊?
141000	143000	台上完全没声音吗?
155000	157000	稍微调一下。
159000	161000	拍照有声音了吗?
161000	163000	刚才给静音了,不好意思。
167000	169000	油管还小是吧?
169000	172000	拍照可以了啊,现在可以了吗?
176000	178000	油管现在可以了吗?
186000	188000	油管现在可以了吗?
197000	199000	现在可以了是吧?
204000	206000	可以了是吧?
209000	211000	OK了,大部分是可以了。
216000	218000	大家就这样凑合吧。
228000	230000	我还有听不见的呢?
230000	232000	听不见的退出再静一下,好吗?
232000	234000	大部分人都可以了。
238000	241000	我买了一个新话筒在大家的要求下。
241000	243000	现在还不是很会使用。
245000	247000	不知道应该怎么调声音呢?
256000	258000	还是小是吗?
275000	278000	怎么回事呢?
306000	309000	大家重新静一下,声音小的退出去静一下。
309000	311000	退出去重新静一下看看。
311000	314000	我现在已经调到最大了,我把话筒都顶到嘴边了。
321000	323000	OK了,可以了是吧?
325000	327000	OK了,今天咱们开始啊。
327000	331000	今天会员直播,我们轻松一点啊。
332000	337000	今天,咱们先开始,今天是2月10号吧。
342000	346000	今天先聊聊深圳的这个,深圳的人士吧。
346000	351000	最近,一开始深圳,我看网上都传这个,
352000	357000	广东的常务副省长张虎要去深圳当书记啊。
357000	361000	咱们一个群友,也是咱们一个会员这么说的。
361000	365000	因为我当时给他发了,后来我就撤回了。
365000	371000	我就说张虎去呢,可能不是很现实,为什么呢?
371000	374000	你给大家知道张虎的背景吧?
375000	378000	张虎是马星瑞在深圳时候的大秘。
378000	381000	当时深圳发生那个滑坡事件的时候呢,
