start	end	text
0	3000	我习买了花筒,不知怎么样,试一试。
6000	9000	拍出了朋友能听到吗?听到也帮我打个仪。
11000	16000	加入群,就是前面有个二维码吗?你加一下这二维码,小猪手拉你入群。
18000	25000	人力能听到是吧?人力你觉得声音怎么样?声音怎么样成功?
26000	30000	油管的朋友能听到吗?听得到打个仪。
34000	36000	油管的朋友能听到吗?
47000	49000	油管声音怎么样?
55000	58000	油管的朋友能听到吗?听得到打个仪。
64000	68000	油管声音可以是吧?哎呀,这还是一分钱一分货呀。
69000	74000	我这给领导申请买了两个好的这个花筒,不用像原来那样来。
79000	84000	好,咱们稍微等几分钟,还没时间还没到,汇居一下人气。
86000	94000	没加汇员的就没加那个群的就是扫一下这个码,正在前面这个二维码扫一下就行了。
97000	99000	我已经换花筒了。
115000	117000	啊!
138000	142000	金融领域的杨赤忠,不认识。
145000	151000	最近大家卖黄金的怎么样了?还是推荐的还是同稳一些吧?
152000	153000	再周一看看同要不要大低啊。
155000	157000	它同是金属里面比较稳的。
163000	167000	温家保华年经常问人两个问题,一个是四万亿对不对?
168000	170000	另外一个我也忘了。
171000	175000	我现在为什么当时发推特,我就是把这些东西记下来。
176000	181000	很多东西我现在都忘掉了,记不清了,我想一想想起来告诉你。
187000	189000	汇员直播有路播吗?有。
190000	195000	谢谢LX,咱传个更好的花筒,这个也算不错了吧。
196000	201000	有点卡可能是VPN的关系啊,要不你退出重新加一下。
202000	205000	王祥喜是怎么回事,应急管理部那个吗?
206000	211000	王祥喜那个明显是那个内蒙框难,参与造假肯定是。
213000	215000	要不然他不会这么巧合的吗?
226000	228000	有宽忍,我不认识啊。
241000	245000	李源潮进去怎么回事,我现在还没听到,我还没和史威不好问他们。
246000	251000	怎么能跟人家联系,这个约是民馆的风口,你越联系,人家都知道咋回事。
256000	263000	这个时候你要耐心等待,早知道几天晚知道几天没关系。
268000	272000	沈亿有天限吗?沈亿是谁?社长聊聊何卫东。
276000	281000	你们说起不奇怪啊,我上一次说张卫侠被抓,其实在境内都知道了。
281000	286000	谢谢徐力,结果大家都不相信。
287000	292000	结果你看这次我发何卫东自杀了,除了少数几个在质疑的,现在基本都相信了。
293000	294000	你说起不奇怪啊?
303000	306000	张迎春哪,张迎春哪天出事你都不用想。
307000	319000	他在新疆怎么生啊?新疆的主席得是维族的,他常付出一下往哪生啊?
321000	327000	是不是,他的湖南那一堆事,哪天不出事,算不错了。
327000	328000	算不错了。
335000	338000	孙金龙真的出事了吗?都这么喘现在。
345000	348000	中的女朋友,谢谢陪伙老朋友了。
349000	354000	我真是特别想告诉大家,我这样吧,我给大家一个提示吧,但是跟我说的人吧,
355000	360000	他希望我不再说了,他希望我不再报这个东西。
361000	369000	我给大家一个提示吧,他曾经是一个主持人,现在是一个女企业家,他是一个80后。
372000	373000	大家能猜出来吗?
385000	393000	很多能质疑何慧东怎么自杀的,大家看看何慧东消失多久了,到现在没个说法,是吧?
394000	399000	然后何慧东他不是被关在中级委的那些留志所的,留志所大家知道,
400000	404000	全部都是那些海绵啊软的东西包的,然后所有的人是24小时看着你的,
405000	411000	离你可能就半米或者一米,24小时看着你,你睡觉,你睡觉那个守队放在外边,
411000	420000	然后你上厕所看着你,那种情况是那个的,你没看那个城雷写的回忆吗?
421000	428000	说有一个看守的人当时是看着他,然后拉肚子,但是没到换班的时间,
429000	434000	那个看守的人就自己把拉屎拉在了库当里,就这么僵化。
434000	440000	谢谢啊,元朝我情况我还不清楚,咱们观察一下。
441000	447000	所以在中级委留志所自杀什么的也是很难的,但是很遗憾,
448000	453000	何慧东不是关在中级委的那个留志所的,他应该在总后的大院里,
454000	459000	所以他不是在那个地方,像因为像最高层啊,大家知道,生病了一般在医院里,
459000	465000	像徐才厚就最后一直在医院里,顶多在医院的窗户上给敲几根钢筋什么的,
466000	473000	然后其他的一般像政治局委员,特别是何慧东他是军委副主席啊,他比一般的这个,
474000	478000	其实政治局委员地位要高的,因为党政军大家知道,军队是单列的,
479000	487000	何慧东就相当于军队这个这个行业的就是前三名了嘛,习近平其实不管他就相当于两个巨头了嘛,
488000	493000	其他的权力比一般的政治局委员要大多了的,就像这些人他一般是优待的,
494000	502000	也不会说把你送到中纪委那边,另外呢在证据没有完全确凿之前,最高领导人没有明确批示之前,
503000	510000	是不会对你怎么样子的,所有你的一举一动,饮食标准什么的全部得是按照最高领导人的指示来,
510000	519000	所以这个时候看守对你不敢太过分的,你很多的待遇是参照之前的,当然可能不如之前了,
520000	528000	但是不会像别的正部级的这些官员一样的,这是两个等级,在金字塔上你站在腰部看,跟站在顶部看是不一样的,
529000	534000	待遇是不一样的,所以在这个中间就是自杀就是有充分的可能了,
535000	550000	所以大家不要用底层的想法去想上面一层,就像那个农村的那个妇女想那个皇帝,皇帝肯定是有这个叫什么,皇帝除地的那个除头肯定是金的,
551000	560000	是吧,皇帝吃饭肯定是两个奸命,肯定是两碗粥,不像咱们一碗粥,不要用这种浓腹的思路去想上面。
564000	576000	好了,差不多了,咱们开始吧,都今天都是会员啊,没声音了吗?拍出来没有声音了吗?
582000	584000	拍出来能听得到吗?
585000	597000	没有声音了吧,退出去重新进一下,我再说一下,大家没事不要切我的片,到现在为止我没有开放一个切片,
598000	604000	然后大家发现切片的就发给我,我会找人举报的,首先把这一片打下去,然后我们才能继续下一步的。
605000	623000	好了,今天开始了,因为前段时间大家都关注的是军队这个领域的斗争,一会这个军委副主席骆马,一会这个,谢谢这个谁发的还好名,
624000	628000	你就发的字太多了,太多了,看不了够了,再看啊。
635000	641000	军队这个,咱们现在正式开始啊,前段时间大家都关注,注意力都放在军队上,因为军队动静比较大,
642000	648000	但是事实上还有一个系统,也是在斗争,这个系统其实也是独立的一个系统,
649000	656000	是这个外交系统,它跟军队系统的相似性在哪里呢,这两个系统都是相对专业性比较强,相对独立的,
657000	665000	你看外部的干部很少能调进外交部的,外交部的干部可能调进政府,其他部门调进地方,
666000	674000	它地方的干部这些年就调进过几个,调进过五六个进外交部,有的还是做这个政委工作,
675000	683000	然后军队也是这样,你军队的干部可以转移,但是地方的干部去军队,除了干后勤之外,好像没有特别合适的工作,
684000	696000	另外这两个系统都出现了人才断层,习近平因为长期在地方执政嘛,他当处军的时候又没有提拔自己人,一直掏光养晦,
696000	705000	所以习近平的人才储备队伍中最缺的就是这两个领域,外交也好,然后军事也好,他其实是缺乏一些自己的低系的,
706000	714000	另外习近平对这两个领域的工作,大的方面他肯定懂,但是细节上他还是不是很懂的,
715000	724000	所以你看这两个领域都是发了这个延迟退休卡的,在二十大上你看,张又侠是作为军事领域的,是延迟退休了的,
725000	734000	王毅是作为外交领域的延迟退休了,他俩其实都是超过了退休年龄,超过了七上八下的这个硬条件的,
735000	748000	你看他俩就是发了这个延迟退休卡,所以这两个领域其实就非常强的相似性,而且这两个领域都是从事跟外部的,
749000	757000	其实你看两个从事外部的斗争的,只不过一个是耍嘴皮子耍心眼的,是外交部,一个是耍枪杆子的动手的,
758000	768000	这两个当然和平时机斗嘴的更多,然后真正斗不过的就开始动手了,所以这两个都是对外的这两个领域就有非常强的相似性,
769000	782000	前段时间大家都关注了,谢谢丹美尔森,前段时间大家都关注军队的领域,然后现在咱们其实回忆一下,可以关注一下外交的,
785000	792000	为什么说到外交呢,因为大家知道前段时间去年的时候刘健超,中联部的部长刘健超落马了,
793000	803000	被调查了一段时间,调查了一段时间,一月份的时候,元旦前应该是,元旦前后刘健超就正式的处理结果出来了,已经出来了,平安落地了,
804000	819000	从正部级降成了正处级,就是断崖式落马,就是级别断崖式的落下来了,那好处就是平安落地,这个就说明了他本质的问题不是很大,
819000	833000	那到底是什么问题呢,据说是被人挖坑了,是被同僚陷害了,什么陷害呢,就是大家知道吧,对于一个风流替汤的外交官,
836000	847000	什么事情能给他挖坑,大家想一想,就是投资事件,挖坑举报,大家想想这个是有没有这个熟悉的味道啊,
848000	856000	上一个落马的这个外交部长是谁啊,秦刚是不是也是投资事件,也是和情报系统结合起来,
857000	866000	这次刘健超落马也是被情报系统被国安委的举报,就是这个是联合作案啊,那今天为了弄明白这个外交部的权斗啊,
867000	876000	我再讲一遍这个外交部这些年的斗争啊,十几年的斗争史啊,特别是以王毅为主线,因为现在王毅是外交系统的男主角,
878000	885000	这个是我们这个外交系统的男二号吧,男一号当然是我们习总书记了,他作为最佳男配角,
886000	897000	我讲一下王毅的以他的这个我主线来讲一下这十几年的斗争,大家就看看类似秦刚还有刘健超这个事情其实发生了好几遍,
898000	907000	外交部的这个这个手法啊都差不多,大家有在外交系统工作的朋友啊,一定他们提醒他们小心了,
908000	918000	秦刚,秦刚反正现在将是副举级,是不是那个编辑部好像那个人好像不是他,有人说不是他,
924000	933000	王毅呢,大家知道他是五三年出生的,然后是黑龙江建设兵团的知青,这个北大皇的知青啊,有时间大家谁有时间可以研究一下,
934000	949000	北大皇知青出了很多人,原来的国务委员王勇,全国政协副主席卢展公,周小川,那个赵洪柱应该也在北大皇也在北大皇待过,
950000	954000	还有邮权国务院秘书长,这几个副国级领导人都在北大皇混过,
955000	967000	像丹氏外交系统啊,像崔天凯啊,就原来的朱美大师,还有王光亚,就陈毅那个女婿啊,还有张志军啊,就台办主任啊,这些人啊都在北大皇混过,
968000	978000	王毅呢,他其实就是出生在北京,好多人传说他是这个周永来的私生子,我觉得这个是胡说八道啊,我不知道这个是怎么流传出来的,
979000	991000	反正我没有注意到,没有找到任何的这个证据啊,王毅的1977年呢,参加了毁北京参加了高考,当时他已经24岁了,其实年纪偏大了,
992000	1006000	他的1982年呢,毕业分到外交部,这个时候他已经29岁了,他已经大龄了,但是呢,他在因为他形象还不错吗,王毅,大家知道他的岳父后来找到的是谁啊,
1006000	1019000	他的岳父是秦家东,秦家东呢,是周永来晚年的外交秘书,周永来晚年就四五个秘书,原来周永康,周永来早年是几十个秘书嘛,后来就砍到了四五个,四五个秘书之一,
1020000	1033000	他的岳母呢,姓陈,我记得,陈呢,是亚洲司的副司长,所以王毅的这个岳父母都是亚洲司的,王毅本身呢,也是分在了亚洲司,
1034000	1043000	所以一进去呢,就开挂了,虽然年纪比较大,一进去就开挂了,最年轻的副处长,司长,副部长,
1044000	1052000	他在,大家知道,就是整个,整个外交部其实最大的两个派系,大家知道是哪两个派系吧,一个是新闻司,
1053000	1062000	前秦深,前秦深那个李兆兴,这一批人都是新闻司的,新闻司出身的,新闻司天生跟美大司关系非常密切,
1063000	1073000	然后第二派系就是,就是日,就是亚洲司,亚洲司就是唐家玄的,所以,所以那个王毅早年发展就是靠唐家玄的,
1075000	1084000	那讲到王毅的故事呢,正式开始呢,这个都是前奏啊,正式开始呢,是2007年,大家知道2007年是一个非常重要的年份,知道吧,
1085000	1093000	2007年是老江向老胡,向老胡交权那个重要的年份,因为到07年的时候,老胡的中央办公厅主任,中央警卫局局长,
1094000	1105000	什么权还权,还权都是老江的人,啊,警卫局局长还是游戏贵,中办主任还是王刚,都是,其实都是那个老江的人,
1105000	1117000	到07年呢,其实老江在陆陆续续的把这些完全交给老胡,就是这段时间呢,其实处于权力的一个变迁的时期,
1118000	1134000	当时的外交部的这几架马车呢,国务委员是唐家玄,大家知道他是驻日大使出身的,亚洲司出身的,然后大使呢,是李兆兴,李兆兴是驻美大使,是驻美大使,
1135000	1146000	当时的外办主任兼着外交部的党委书记啊,是戴炳国,啊,唐家玄和李兆兴来知道是给老江关系更近一些,特别是李兆兴,
1147000	1161000	当时胡锦涛跟那个美国总统做谈的时候,两个人做谈的时候,李兆兴就突然闯进去了,啊,为什么,因为他他不知道他们在谈什么,啊,所以那个胡锦涛一直非常讨厌李兆兴,
1162000	1177000	然后戴炳国呢,就是他也是女局呆,知道黄震的女局,戴炳国是跟胡锦涛关系更好一点,啊,然后当时的这个常务副部长呢,外交部常务副部长的就是老虎阳,就是杨洁篪,
1178000	1185000	就这大概是外交部的这几个,啊,几架马车,啊,07年呢,发生了两个比较重大的事件,
1186000	1196000	第一个事件呢,就是当时的外交部的家属啊,外逃,就是中国那个外交官住外的那个大使馆啊,有很多戴的家属嘛,有几个家属接连外逃,
1197000	1204000	这个就是当然让中国这个高层非常啊,非常丢脸吧,就让他内部整改,啊,就说明他政治工作做的不到位,
1205000	1216000	第二个事情呢,07年来知道发生了这个公共情负案,就是李维,就是那个越南的那个女的,啊,就是撂倒了一大批部长的,什么陈同海,
1217000	1233000	忠实话的,啊,董事长叫陈同海,青岛的社会书记杜士成,啊,财政部长金人庆,啊,还有一大堆反正,就其其中还牵扯到一个就是李兆行,啊,就是这些人当时这个的案件呢,
1234000	1243000	啊,是税务部门发起的,后来呢,可能就被温家宝这帮人想利用,啊,被别人想利用,啊,攻击这些,攻击余政生当时,
1244000	1255000	那后来发现呢,啊,这个李兆行虽然,就是李维虽然是,啊,虽然是余政生的小妹啊,但余政生没收什么钱,啊,他知道余政生这个人呢,
1255000	1266000	他是很有那个老一代的革命家的风范,他非常平易近人,啊,第二呢,他,他本身呢,其实是不怎么收钱的,啊,他当人,但是不收钱,
1267000	1273000	结果这帮人呢,就是当时财经还出了一帮,出了一个专题封面的文章,就写李维的公共刑负案呢,
