start	end	text
0	8000	好了会员直播开始了
8000	11000	会员能听得到吧
21000	23000	还是会员好还是会员好
23000	26000	谢谢robots谢谢robots
26000	30000	这样咱们这期因为我这周直播了三四场了
30000	31000	我也太累了
31000	34000	这咱们这期就当咱们这周的会员直播吧
34000	36000	以后咱们就经常的公开直播
36000	40000	把一些精彩的部分放到会员直播里
40000	42000	这样保证咱们会员的权益
42000	43000	保证会员的权益
43000	46000	跟这些大傻子咱们也没必要那个了
46000	50000	咱们现在这直播就当本周的会员直播了
50000	54000	我给大家讲一讲主要讲什么呢
57000	59000	主要很有意思可能直播时间不长
59000	61000	就是我今天想因为
61000	64000	就是你近代的儿子里累这个事情呢
66000	69000	其实就是我一直在观察里累的动静
69000	72000	他的这个人生命运其实对大家也非常有启示
72000	75000	特别是当了父母的咱们会员
75000	79000	一定从他们这个家族的这个事情上
79000	82000	得到一些启发
82000	84000	这个故事不是很长
84000	87000	我讲完之后咱们再回答回答提问
87000	91000	好吧咱们这周的会员直播就这样
93000	94000	李金耐刚才讲了
94000	96000	就是中国政坛上非常重要的一个人物
96000	97000	大家知道
97000	100000	特别是在军队里他资历非常深
100000	102000	基本上从邓小平时期
102000	105000	你看他85年就是总政干部部部长
105000	108000	总政干部部长大家知道第一任是谁吧
108000	110000	第一任是谭政
110000	113000	谭政是毛泽东最铁的大将
113000	114000	大将之一
114000	117000	所以你看他当时多年轻当了那个
117000	119000	后来所以你看到了
121000	124000	90年他就是总政治部副主任
124000	126000	后来因为那个谁啊
126000	129000	因为王瑞琳调到总政又把他调走了
129000	132000	所以调到那个国防科工委和总装系统
132000	135000	他当过总装的这个部长
135000	137000	从总装的部长接了总政治部主任
137000	140000	所以他干了8年总政治部主任
140000	142000	所以你看这个人是非常厉害的
142000	145000	而且是军委委员是基本上副国籍
145000	147000	跟这些领导人关系非常好
147000	148000	他跟江非常好
148000	152000	而且他跟他在就是
152000	154000	军委的这些高层领导中是最早
154000	156000	向胡锦涛靠拢的
