start	end	text
0	25280	喂喂 大家聽得到嗎 先幫我打一下1 1 謝謝
30000	50800	youtube沒問題是吧 拍照呢拍照能聽到嗎
50800	60640	拍照進來的朋友能聽到嗎 能聽到的話打個1
60640	70880	拍照聲音怎麼樣
70880	81000	開通高級會員怎麼入群聯繫一下小助手都聯繫小助手
81000	86600	就是咱們屏幕上出現一個二維碼沒有加群的朋友加一下二維碼
86600	91840	普通會員跟高級會員都是加二維碼
91840	98560	加一下小助手然後你加上小助手之後把你會員的截圖發給他
99520	106400	你不要什麼那個你直接就發給他截圖然後說一下我想入我是那集會員哪個平台的是youtube
106400	109600	還是拍錯想入哪個群直接說一下就行了
109600	129120	小助手不回你很很很很正常他也經常不回我的
129120	133760	他還剪輯東西還要幫我處理好多事情
134720	140800	脾氣比脾氣比我大而且他週末不上班啊日本週末不上班
142400	145760	謝謝風水起謝謝ks是什麼必啊
147440	149600	謝謝不管多少都是心意謝謝
151040	155600	對大家我這半夜直播大家有空打打賞啊搞點娛樂啊
164240	168560	謝謝許禮老朋友了許禮是個圖書館我現在缺書都問許禮要
169440	171360	多虧了許禮謝謝
178880	180080	謝謝祥雲
181120	183360	肯尼亞哇塞你在肯尼亞呀
183600	185680	肯尼亞哇塞你在肯尼亞呀
197280	202560	週末好週末好哎呀不是那個楊振寧那個不能全怪小助手
202560	211040	是我在寫稿子的時候我現在年齡大了就是經常把這種相似的名字給搞混
211040	215680	所以把楊振寧跟這個楊煥寧搞混了
215680	218720	然後但是他配圖的時候給配成楊振寧就是他的不對了
220160	223040	無論如何楊振寧不應該出在出現在視頻裡
223600	225120	主要因為我週末出去了
227120	228160	雪山飛虎謝謝
230960	235120	所以我我稿子寫得也比較快然後也沒仔細檢查這個都願我
241200	250160	對伊朗那次我說了就是伊朗呢他是個死局我跟大家說第一他自己撿不開
250880	253680	只能依靠美國第二吧美國吧
254400	258080	呃就是他只會有限參與即使現在
258880	261360	美國去轟炸了
