start	end	text
0	2400	但最近CloudBot他讨论非常多对吧
2400	4800	有人说这是一个真正可用的AI员工
4800	7700	也有人说它不过是一个自动化脚本的大集合
7700	9100	还有人他买了Mac mini
9100	11300	但是跑了一两次之后直接就扔掉了
11300	11900	说了一句
14700	15700	在我看来的话
15700	17800	CloudBot它之所以这波爆火
17800	19700	本质上不是一个工具的问题
19700	23100	而是你会不会设计Azint的工作方式的这样一个问题
23100	25600	所以说今天的话我们就不去做任何的部署教程
25600	26800	也不去对比参数
26800	28600	我直接用几个非常具体的案例
28600	31000	带你把这个CloudBot真正看清楚
31000	32000	OK 我们现在开始
32000	33800	CloudBot它不是一个模型
33800	35900	也不是一个聊天室的AI工具
35900	40100	它本质上是一个长期可运行的Azint执行容器
40100	42500	所以说你这边可以看到这样几个关键词
42500	44000	首先是长期的运行
44000	44800	然后是Azint
44800	45900	然后是执行
45900	48300	它解决的不是AI会不会写代吗
48300	49000	这样的一个问题
49000	50600	而是某一类事情
50600	53400	能不能不在你盯着的情况下面
53400	56300	持续的反复的被AI完成
56300	57600	这是它的一个核心的概念
57600	59400	很多人对CloudBot给我一个误解
59400	62200	就是我是不是可以附用上一次AI员工
62200	63400	其实是不行的
63400	66800	原因是和我们上期Azint Skills里面讲的一模一样
66800	68800	CloudBot它其实不是一种资产
68800	71300	用CloudBot去适配的场景
71300	72400	它才是资产
72400	76000	就是说CloudBot它本身只是一个运行态的容器
76000	79800	就像是一个正在跑的计算机当中的一个进程
79800	82100	不能说我附用上一次CloudBot
82100	83800	你真正想附用的其实是
83900	87800	你之前为这个CloudBot它设计好的任务的结构
87800	89000	固定下来的规则
89000	93200	以及稳定的输入输出的这样的一个边界
93200	95200	包括就是给到CloudBot
95200	98400	以及让它长期利用起来的那些有效的记忆
98400	101900	所以说CloudBot它其实负责的是去承载
101900	104200	而不是积累价值
104200	107200	所以说如果你带着CloudBot去开一家公司的话
107200	109200	你会发现它不是CEO
109200	111600	也不是那种高级工程师
111600	117600	它更像是一个永远不会下班的这种去执行的人员
117600	121400	就是说它非常擅长去做那些重复标准结构化的工作
121400	125100	但是完全不适合去做判断和取舍
125100	127600	宏光规划和架构设计这样的一些事情
127600	130200	这也是为什么有人觉得它非常的好用
130200	132300	可以去大大提升它的一个效率
132300	134400	但也有人觉得它不是特别的好用
134400	136700	很积累甚至会给我们埋雷
136700	140900	所以说不同的人看待CloudBot会有不同的见解
140900	143200	所以说我们现在面临的更重要的一个问题
143200	145200	就是把它放到哪个位置
145200	148400	把它安排到哪个岗位上面让它去发光发热
148400	151400	OK 下面的话我们正式进入这个实造完结
151400	153800	我首先解决一个大家非常关心的问题
153800	156600	就是CloudBot到底适合跑什么
156600	161000	是不是任何事情都值得搞一个七成24小时的agent
161000	162400	答案其实是否定的
162400	165600	我把所有的这种可以交由AI来执行的任务
165600	167000	简单分为了三个大类
167000	169500	首先第一个是那种一次性任务
169600	172400	跑完就结束了就取消了就没有了
172400	176100	然后第二类的话就是需要我们仁慈去介入的
176100	178800	去做vibe working或者叫vibe coding
178800	180600	co-work这样的一类任务
180600	182200	比如说编程 AI 辅助设计
182200	184700	比如说 AI 帮我们写小说之类的等等这些
184700	188700	第三类的话就是我们其实有一个固定的套路
188700	190200	或者说是规则
190200	192600	然后我们给AI讲清楚训练好
192600	196800	然后让它可以去长期自治自己去跑的这样的一类任务
196800	197700	总共就是三类
197700	199700	这边大家就需要去记住一句话了
199700	204900	就是 Cloudbot 在我看来它目前只适合第三类任务
204900	208300	比如说你每天需要去监控几个 GitHub 仓库
208300	210200	然后你需要去抓他们的更新
210200	211200	然后整理摘要
211200	212600	然后条件满足的话
212600	215200	给你去发一个什么什么样的提醒
215200	217600	这类事情的话就是你不在场
217600	220400	这个 Cloudbot 也能够去帮你很好的完成
220400	223400	这个时候它的价值就提现出来了
223400	224600	再来看第二个例子
224600	227600	就是我们想要去写一个复杂的业务模块
227600	231900	然后我们想要让 Cloudbot 自动的去做技术的决策
231900	234500	然后也没有去给它一个明确的边界
234500	237500	就是想要让它先跑起来看一看
237500	239100	先验证一下行不行
239100	240800	这样的一类事情的话
240800	243900	可能你会发现 Cloudbot 它跑了一周之后
243900	246700	大概率是不太满足我们的预期的
246700	249200	怎么说不是因为 Cloudbot 不行
249200	253500	而是你把这种比较强思考型的工作
253600	259200	交给了这种执行层面的 Agent 员工
259200	262900	它很有可能就是做得不太符合你的预期
262900	264200	所以说你现在也可以看到
264200	267400	并不是 Cloudbot 它的效果好不好的问题
267400	271600	而是你有没有把一类事情设计成
271600	274800	值得长期自动化的这样的一种能力
274800	277300	这也就是为什么同样是一个 Cloudbot
277300	282800	同样是未来的一个 XYZ 这样的一些 Agent 类的工具
282800	286100	有些人他就可以去用的非常的顺利
286100	288600	提升他们的工作效能
288600	291400	然后有些人只是简单跑了一些单帽之后
291400	292900	就觉得这个东西没什么用
292900	294100	然后就吃灰了
294100	297700	所以说我个人认为 Cloudbot 它真正的一个
297700	298700	有价值的地方
298700	300700	其实不在于它有多少技能
300700	304400	也不在于说它能不能够去远程控制你的电脑
304400	308100	而是在于它第一次让我们开始认真思考一件事情
308100	310400	就是哪些事情我们其实是值得把
310500	313500	时间的控制权完全交给 AI 的
313500	315500	当你开始做真实项目
315500	316700	而不是 demo 的时候
316700	319400	你就会越来越多的去在意它的一个稳定性
319400	320500	可复用性
320500	323300	长期行为是否可以观测可以预测
323300	325600	而不是某一次的效果特别的经验
325600	327100	正是这样的一个前提
327100	330300	我们之前才催生出来的 Agent Skills
