start	end	text
0	2000	哈喽,大家好,欢迎回到我的频道。
2000	5000	今天呢,我主要想给大家来聊一聊关于数据这个行业。
7000	12000	之前的视频里呢,也有同学问过我说,数据行业这么大,里面各种各样的职位都有什么区别呢?
12000	18000	今天就想花大概十来分钟的时间来跟大家一起来梳理一下,数据行业到底都是在做什么?
18000	22000	为什么说它这么性感?各种各样的职位都有什么样的要求?什么样的区别?
22000	29000	那如果说你想了解更多信息呢,我也会在下面的信息栏放更多跟数据行业相关的一些资源供大家参考。
29000	30600	我们废话少说,就赶紧开始吧
37600	40600	在现在这个信息爆炸的大数据时代
40600	42800	机器学习、人工智能都越来越火热
42800	47600	这也让数据行业变成现在大家都把它称作一个特别性感的行业
47600	50600	所以数据行业也吸引了很多不同专业的同学
50600	54200	比如说像学计算机的、学统计的数学、数据、机器学习
54200	55800	这些专业的同学都会觉得说
55800	57800	数据行业不错,我要不要考虑一下
59000	61000	我们先来看一下维基百科对数据科学的定义
61000	62000	他说
62000	66000	数据科学是一门利用数据学习知识的学科
66000	70000	其目标是通过从数据中提取有价值的部分
70000	72000	来生产数据产品
72000	74000	听起来好像是非常有深意的
74000	76000	其实还是不知道他在说什么
76000	77000	所以我们稍微解读一下
77000	78000	这句话翻译成人话呢
78000	81000	其实就是说通过对历史数据的一些分析
81000	83000	解读建模对未来的预测
83000	85000	来帮助我们更好地做决定
85000	86000	好像还是很抽象
86000	88000	好像还是很抽象
88000	90000	那我们来看一个具体的例子
93000	94000	大家可能都听说过Spotify
94000	96000	就是我们平时听音乐的这个APP
96000	99000	那Spotify现在想要进军中国市场
99000	100000	进军中国市场不是说
100000	102000	一下子把自己所有的歌曲
102000	104000	就放出来给中国市场的听众们听
104000	106000	而中国的这个监管部门是有限制的
106000	108000	就是一周只能放5000首歌
108000	109000	那怎么办呢
109000	111000	他选哪5000首先把它放出去呢
111000	113000	这时候就需要一个数据科学家
113000	114000	来建一个模型
114000	118300	来对这些歌曲未来有可能在中国市场受欢迎的程度来进行一个排序
118300	122700	推出去之后呢过一段时间我们也会把这些新的数据拿过来进行反馈
122700	125000	然后进一步呢对这个模型进行调整
125000	128500	那所以刚才我们说的这个数据科学家他建的这个模型就很重要了
128500	130700	如果一开始我们选的这个歌曲很好
130700	132700	那我们听完了可能觉得这个APP很好
132700	135000	然后我跟我的朋友说说哎你也来听一听
135000	137300	这样慢慢一传十十三百这个APP就火了
137300	138500	当然可能没有那么夸张了
138500	141100	但总体来说就数据科学家的这个模型
141100	144100	对整个Spotify这个公司的发展都是意义重大
148100	150300	非常主流的两大应用之一
150300	151300	一个是这个机器学习
151300	153700	另一种主要就是AB test
153700	156900	AB test在电商领域的应用其实是非常广泛的
156900	159500	就比如说我们这个界面有一个A方
159500	160100	有一个B方
160100	161300	我们到底应该用哪一个
161300	163500	很多公司都会选择去进行AB test
163500	164100	把这个放出去
164100	165900	然后收集一下用户反馈的数据
165900	167100	看看到底是选哪个好
167100	168900	我前两天就发现了这么一个例子
168900	170100	就是我在点餐的时候
170100	171700	用的那个网站叫seamless
171700	172100	然后呢
172100	173700	我用两个不同的账号登录
173700	176300	我就发现其实网站正在进行一个AB test
176300	177800	不同的两种界面
177800	180500	对用户给小费这个行为产生的影响
180500	182000	就比如说在这个界面上
182000	185000	我们能看到这个小费是非常明显的写出来的
185000	186200	而在这个界面上呢
186200	187900	它其实是把一个小费藏起来了
187900	190500	我得点开才能输入小费具体的数额
190500	192700	这其实就是一个非常非常典型的AB test
192700	193900	就看不同的界面
193900	196200	对用户付小费会产生什么样的影响
196200	198500	那在拿到了这两个测试结果之后呢
198500	202140	Simless也可以根据自己想达到的一个目的来选择应用
202140	203740	到底是用哪个界面会比较好
203740	206940	所以我们刚才看到的不管是Simless还是Spotify
206940	211740	其实都是在通过数据的建模分析去解决自己的商业问题
211740	215180	每个公司自己的业务千变万化千奇百味
215180	215900	大相径庭
215900	218500	在不同公司的数据科学家或者数据分析师
218500	221580	他们在做的这个在解决的问题也都是不一样的
221580	224380	我觉得这个也是数据行业非常性感的一个地方
228500	230980	整个数据处理的这样一个流程
230980	232020	基本上包括这五步
232020	232700	首先第一步
232700	233780	business understanding
233780	235380	公司要解决一个什么问题
235380	236500	然后分析什么数据
236500	236900	第二步
236900	237900	data acquisition
237900	239340	就是把数据抓取过来
239340	239780	第三步
239780	240700	data cleanup
240700	241740	就是说把数据
241740	243100	处理一下清洗一下
243100	244780	变成一个可以分析的状态
244780	245300	第四步
245300	246340	也是最重要的一部分
246340	247860	就是data modeling analysis
247860	249020	就是建模分析
249020	250420	最后一步得出结论
250420	252180	然后进行实践deployment
252180	253620	那这个其实说白了
253620	254420	就是刚才说的
254420	255020	分析问题
255020	256300	抓数据解决问题
256300	257300	如果这么一说
257300	260180	就感觉好像我们更高级了
260180	262300	其实数据行业因为很新
262300	264300	而且里面各种各样的岗位特别多
264300	266340	所以没有一个明确的说
266340	268980	比如说BA就是做这个,DA就是做这个
268980	271740	DA这个Data Analyst刚才说到的整个流程里面
271740	273780	几乎每一个环节都可以叫做DA
273780	274780	就是Data Analyst
274780	277900	不同行业不同领域不同公司叫法都可能会不一样
277900	279220	但我们可以简单来看一下
279220	282820	在这个流程过程当中不同的环节大致都是做什么的
282820	284460	首先第一个就是这个
284460	285660	business understanding
285660	287780	这个在整个data领域一般是叫BA
287780	288300	或者DA
288300	289220	或者BI
289220	290980	BA就是business analyst
290980	292100	商业分析师
292100	293300	DA就data analyst
293300	294260	数据分析师
294260	296140	或者BI就business intelligence
296140	297580	其实他们要做的事情
297580	298820	主要是对公司的业务
298820	299940	对产品很了解
299940	300660	所以他要知道
300660	302260	自己要解决的问题是什么
302260	303620	然后通过什么样的数据
303620	305020	可以解决这些问题
305020	305260	对吧
305260	306660	就比如说刚才我们说的
306660	308980	科技公司会有一些这种排序推荐
308980	310940	还有金融公司可能会是
310940	313260	一些量化交易策略的产生
313260	316220	还有一些电商公司比如说刚才说的要做一些界面的调整
316220	318300	这些都是可能会面临的商业问题
318300	322860	那这部分呢其实对编程或者数据分析相对来讲的要求没有那么高
322860	326780	而更多的呢是解决问题或者是分析问题这部分的能力
326780	331420	那第二步在我们知道的是什么问题同时知道分析什么数据去解决这个问题之后呢
331420	334620	下一步就是要来抓这个数据了也就是Data Acquisition
334620	339580	那这一步呢一般情况下在公司里头是Data Analyst或者Data Engineer
339580	341820	就是数据工程师他们来完成的
341820	344300	那他們要抓的這個數據就可以是各種各樣的
344300	345860	比如說如果說金融領域
345860	347260	大家可能知道像Bloomberg
347260	349780	像這種Royters或者是萬德
349780	350860	就是金融數據庫
350860	352580	我們可以抓取到自己需要的數據
355020	356740	但其實在現實生活中的數據
356740	357900	可能已經不只是這樣了
357900	359500	就比如說有一些金融公司
359500	361940	它現在已經不能僅僅地滿足於說
361940	363860	我從Bloomberg拿來Data做分析
363860	364740	因為所有人
364740	365300	不是所有人
365300	367860	大多數公司都會有Bloomberg的access
367860	370540	所以它就很難在這些數據裡再深度地挖掘
370540	374220	所以很多公司现在希望能去找到一些叫做alternative data
374220	376380	就是通过比如说网络上一些爬虫啊
376380	379100	去拔取一些这种信息啊来进行分析
379100	382620	这些呢相对来讲就是他们自己独有的一些优势
382620	384620	那在这一步数据抓取的这一块呢
384620	387420	Data Engineer是要掌握很好的SQL
387420	389900	再有很多呢就是一些这种类似于爬虫的语言
389900	392060	可以从不同的地方把数据抓取过来
392060	395180	把这些数据呢存到自己的一个数据库里面
395180	396860	这些就是Data Engineer做的事情
396860	402180	所以这部分呢其实是对编程和这种挖数据的能力要求是比较高的
402180	404420	下一步呢就是这个data cleanup的过程
404420	405980	不管是数据工程师还是科学家
405980	409420	他们在建模之前都要把数据进行一个很好的清理
409420	411460	变成更可读更易读的一个版本
411460	413300	数据领域呢经常有这么一句话
413300	415380	大家经常说叫garbage in garbage out
416260	421060	意思呢就是说如果我们一开始拿到的这些数据是一堆垃圾的话
421060	423540	那再怎么分析都不会得出一些很好的结论
423540	425780	所以这个数据的清理工作就非常重要了
425780	426300	举个例子
426300	428020	比如说我们拿到了一些数据
428020	430940	但是呢这些数据里面有一些日期是缺失的
430940	432140	那这时候我们怎么办呢
432140	434460	我们是把这些日期随便填一个
434460	436340	还是都填成一个一样的
436340	438380	还是说把这些数据直接就扔了
438380	440620	不同的数据分析师或数据科学家
440620	442220	就会有他们自己判断的标准
443140	443900	所以在这一步呢
443900	445980	我们要把有用的数据给提取出来
445980	447020	不要那些garbage
447020	449620	为下一步的分析做好一个更充分的准备
449620	450180	那所以呢
450180	452020	像平时很常用的一些数据分析
452020	453500	数据处理的语言
453500	456220	比如说python里面的一些常用的数据包
456220	459100	Numpy, Pandas或者是R, Matlab
459100	460140	这些数据分析的语言
460140	462540	在这儿就是非常非常必备的一项技能
464060	465140	那下一步呢
465140	467140	就是这个数据分析和数据建模
467140	470620	这其实就是整个数据行业一个非常完核心的内容了
470620	472660	那这儿呢大多数公司会把它叫做
472660	473740	DA就是Data Analyst
473740	476060	或者DS就是Data Scientist数据科学家
476060	478060	因为数据科学家带个科学家
478060	479300	听着就很牛逼
479300	481300	所以现在很多公司也把他们
481300	483980	这种跟数据相关的职位都叫数据科学家
483980	486780	从这个job title就是工作的名称上是很难辨认的
486780	488980	那这部分在做的事情是什么呢
488980	490860	如果是Data Analyst的话
490860	494580	更多的是对一些历史的数据进行一些分析和描述
494580	496940	数据科学家这块更多的是通过建模
496940	500500	来对未来有一些这种预测性质的判断
500500	503500	他们的典型的工作主要也是刚才我们说到的那两类
503500	505380	一类是偏AB test
505380	507940	那这种的话就是对像数理知识统计知识
507940	509140	比如说时间序列
509140	512180	一些统计方面的模型要求会比较高
512180	514220	另一类就是机器学习相关的
514220	516460	对编程方面的要求会高一些
518340	520500	所以资料科学数据科学这一块
520500	522420	其实也是我觉得整个数据里面
522420	524860	最核心也是要求最高的一块
524860	527180	最后一步就是我们通过分析这些数据
527180	528100	得出来一个结论
528100	530700	然后来指导公司进行他们的决策
530700	533180	这儿更多的也是刚才我们说到第一步
533180	534620	那些商务分析家
534620	537500	通过一些对数据进行可视化的一些分析
537500	539300	Tablo、Power BI
539300	540980	这些都是一些比较常用的工具
540980	544060	其实excel我们平时也可能做一个这种柄状图
544060	546580	作为柱状图都是对数据可视化一些分析
546580	550620	只不过像tablo这种工具里面会有更强大的一些
550620	553500	可以建这种dashboard就可以画得很漂亮
553500	555860	这样可以更清晰的提取出这个数据里面
555860	557300	我们想表达这些insights
557300	560460	所以总体下来在整个环节的头和尾
560460	562180	一般就是business analyst
562180	563940	对technical整个数据处理
563940	566220	数据分析的要求相对来讲会弱一点
566220	568340	中间这包括一些数据处理
568340	570060	这种就是data engineer
570060	573500	然后就是建模,这就是Data Scientist和Data Analyst
573500	578140	这块其实也是对数据本身和建模要求最高的一部分
578140	580740	还是最开始那句话,因为每个公司它的要求不一样
580740	583300	所以不一定每个公司整个的这个环都有
583300	585140	有些大的公司它可能分得很细
585140	587300	每个人就做这个环其中某一部分
587300	590260	但有一些可能稍微小一点的公司可能一个人就要全做
590260	591780	所以具体的工作内容呢
591780	594580	还是需要看这个job description上的具体要求
594580	597780	这些呢就是我今天想跟大家分享的数据行业
597780	600380	和数据行业职业选择的一些内容
600380	601780	那大家如果想了解更多呢
601780	603180	也可以看看下面的信息啦
