start	end	text
0	2300	大家好,这里是联络体书
2300	3900	今天我们主要来说一下
3900	8900	如何完全百分百通过本地模型加onema来部署OpenCloud
8900	11100	无需API,无需付费
11100	13200	真正支持断网离线使用
13200	15600	并且支持切换不同的本地模型
15600	18900	比如ISB或者是120B的GPT开源模型
18900	23100	千万上,据RM4.7,KIMI的模型都是可以的
23100	26400	在开始之前,首先没需要打开联络博商这篇文章
26400	28100	链接会放在视频下方
28200	30000	下面用我们今天所需的全部质量
30000	31800	打开以后,链接我下来啦
31800	34500	首先第一步,没需要准备下必备的环境
34500	35900	第一是安装Git
35900	38200	当时可以通过管理员身份打开PowerShell
38200	39800	接通过这个命令进行安装
39800	41200	我再快闭一下
41200	44100	然后下面在下方搜索囊里,速度关键认词,PowerShell
44100	45900	这样我们需要以管理员身份打开它
45900	49100	打开以后,准备右键,粘贴下杆在下载的命令
49100	50900	这样确认一下
50900	53300	这样的话,它用这种下载安装这个Git的环境
53300	55100	当上方显示已经安装成功的话
55200	56500	那下来关闭掉就可以了
56500	59300	当然如果你在执行过程中出现任何错误的话
59300	61800	那么你可以通过下方这两行命令进行修复
61800	63300	然后下面执行第二步
63300	66100	就在我们电脑上安装最新版本的Olema K5档
66100	67800	下面重新回到刚才提的下
67800	69000	那么就下载
69000	70000	老大他有没有看到
70000	72700	他上面问你,你将用这个Olema做来干什么
72700	74700	他说Olema是使用开放模型
74700	76800	实现工作主动化的最简单方法
76800	78500	同时还能确保你的数据安全
78500	79900	因为它是完全本地的
79900	81000	你可以理性使用
81000	83100	下方是Olema可以用来搭配的工具
83100	86300	它里面就明确提出是可以适合这个OpenCloud的
86300	88100	是可以完全接龙适配的
88100	89400	先把你上方下载
89400	91000	该倒下来
91000	92100	总共是一系左右
92100	92700	我们的下载
94700	95800	好,下载好以后
95800	97900	先把安装下来的Olema程序
97900	99100	我们得打开它
99100	101300	打开以后我们点击安装
101300	102700	这个安装路径的话默论就可以了
104500	105600	好,安装好以后
105600	107400	它会进入到Olema的面板
107400	109100	在上方这里你可以直接下载模型
109100	110800	但它模型并不是特别多
110800	113000	可以看一下,第一个是DBC应该8B模型
113000	114500	同时还有千万的各种模型
114500	117300	比如它推荐的千万三编码模型30B的
117300	118700	如果需要下载的话也可以直接下载
118700	121100	底右这一个下载按钮就可以了
121100	121800	打开它
121800	123700	或者我们可以使用它推荐的模型
123700	125200	现在我们来看一下
125200	127200	官方推荐的本地模型型号
127200	128400	它上方是有说明的
128400	129600	我们来看一下
129600	132300	它说OpenCloud需要更大的上下软长度
132300	133500	才能完成任务
133500	136600	尽管使用至少64K这个token的上下软长度
136600	139900	然后下方是一些和OpenCloud接龙器比较良好的模型
139900	141400	比较第一个是千万三扣的
141400	143300	就是千万的编码模型
143300	145300	它是针对编码的任务进行优化的
145300	147500	比较适合用于这个用来编程
147500	150100	比较代码补权、修复、纠错等等
150100	151300	都是比较合适的
151300	153700	第二个是GLM4.7模型
153700	155300	这个模型我直接给它介绍我一次
155300	157300	它是一个比较强大的通用型模型
157300	159500	如果是用来聊天或者是处理文档
159500	161100	PDF或者文本任务等等
161100	162300	那就选择它
162300	163400	然后第三个比较推荐的模型
163400	165500	就是GLM4.7 Flash
165500	167700	它是一个坚固性能和速度的模型
167700	168900	如果能追求响应速度
168900	170300	还有这个性能的话
170400	171500	那就选第三个
171500	173400	GLM4.7 Flash
173400	175400	然后第四个它推荐的摆地模型的话
175400	178500	就是20B的GBT OSS开源模型
178500	180700	如果的显卡显示是20GB左右的
180700	182000	那你可以选择它
182000	184000	它也是坚固性能和速度的
184000	184900	然后第五个的话
184900	186300	它性能就比较强好了
186300	189100	因为它是120B的开源的GBT模型
189100	191700	也就是GBT OSS 120B
191700	193500	它能力比上面四个都强
193500	195100	但是它对显示要求比较高了
195100	196800	至少是120G左右的
196800	198800	普通消费级显卡肯定是跑票的
198800	200200	那现在正式开始安装
200200	202400	比如我们选择像这个坚固性能和速度的
202400	203800	一个GBT开源模型
203800	204500	20B
204500	205900	那么打开它看一下
205900	206900	打开以后
206900	208000	它现在可以把这行下载命令
208000	209100	给它快逼出来
209100	210300	来先下载一下
210300	211500	快逼好以后
211500	212600	然后现在在下方搜索囊里
212600	213500	我们输入关键纸
213500	215600	CMD打开我们的命令中桶
215600	217200	它现在可以打开
217200	218200	打开以后
218200	219000	它现在准备右键
219000	220900	粘贴下刚才这个下载命令
220900	222700	把这个20B的开源模型
222700	224200	也就是GBT的开源模型
224200	225200	给它动一下来
225200	227000	所以它有点确认一下
